epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,31.4526,0.247222,0.580506,0.00114462,0.00093919,0.644485,0.00451777,0.0015874,0.0238095,0.0133333,0.162659,0.309574,0.616436,0.0001,1e-05
2,66.1697,0.128411,0.272926,0.0015405,0.00127876,0.444249,0.0118959,0.00758399,0.0112817,0.48,0.11993,0.277777,0.373266,0.0001,1e-05
3,101.159,0.0975455,0.262415,0.00171807,0.00143965,0.363141,0.0301862,0.0145899,0.0452261,0.12,0.154415,0.259217,0.477365,0.0001,1e-05
4,135.918,0.0971175,0.259509,0.00193203,0.00161851,0.364767,0.041748,0.0122891,0.135135,0.133333,0.157092,0.261395,0.651616,0.0001,1e-05
5,168.566,0.0915474,0.253014,0.0020491,0.00171946,0.33219,0.0615684,0.0368236,0.0358744,0.213333,0.0827672,0.251251,0.323425,0.0001,1e-05
6,203.447,0.0832292,0.244997,0.00179551,0.00150836,0.304142,0.0584436,0.0385154,0.155172,0.12,0.083163,0.242415,0.317746,0.0001,1e-05
7,238.289,0.0780298,0.241745,0.00161041,0.00135646,0.305504,0.0498645,0.0260018,0.0535714,0.08,0.0852511,0.246684,0.32236,0.0001,1e-05
8,270.035,0.0923765,0.24047,0.0013558,0.00114989,0.334612,0.0848965,0.0437767,0.115385,0.16,0.0858532,0.24422,0.316045,0.0001,1e-05
9,302.597,0.0764525,0.239242,0.00120893,0.00102732,0.300147,0.073141,0.034423,0.164557,0.173333,0.103475,0.24287,0.405749,0.0001,1e-05
10,333.343,0.0725982,0.236059,0.00108207,0.000924199,0.293656,0.107356,0.0402372,0.47619,0.133333,0.123269,0.228501,0.448812,0.0001,1e-05
11,365.333,0.0769643,0.237049,0.00108915,0.000930247,0.294758,0.0763209,0.0401716,0.14,0.186667,0.0818561,0.227652,0.317473,0.0001,1e-05
12,396.449,0.0786472,0.234607,0.00133328,0.00113822,0.29427,0.104163,0.0504671,0.297297,0.146667,0.0808816,0.233787,0.336708,0.0001,1e-05
13,430.279,0.0747253,0.22558,0.0014732,0.00125309,0.300109,0.08243,0.0414962,0.276596,0.173333,0.0727573,0.227165,0.310714,0.0001,1e-05
14,460.844,0.0735883,0.221359,0.00146183,0.00125355,0.295238,0.0981587,0.0463889,0.123188,0.226667,0.0743728,0.222731,0.287924,0.0001,1e-05
15,491.634,0.0876245,0.227844,0.0011928,0.00103107,0.308037,0.103411,0.0703636,0.210526,0.106667,0.068134,0.228143,0.270556,0.0001,1e-05
16,524.442,0.0682763,0.226634,0.00117058,0.00101328,0.277984,0.0793826,0.0410739,0.0755556,0.226667,0.0880667,0.232765,0.343026,0.0001,1e-05
17,555.478,0.0726421,0.229592,0.00126417,0.00109424,0.273829,0.116581,0.0683002,0.266667,0.106667,0.0691889,0.225025,0.27932,0.0001,1e-05
18,586.732,0.0697066,0.228211,0.0011034,0.000961581,0.268661,0.0870825,0.0396495,0.191489,0.12,0.0993055,0.24125,0.317648,0.0001,1e-05
19,617.656,0.0764564,0.226552,0.000976409,0.000855396,0.28665,0.137167,0.0758981,0.361111,0.173333,0.0661653,0.228305,0.26703,0.0001,1e-05
20,650.435,0.0758327,0.222789,0.00100638,0.000881334,0.282754,0.150879,0.068555,0.172414,0.266667,0.0967522,0.211407,0.387849,0.0001,1e-05
21,681.494,0.0774999,0.21936,0.000869749,0.000768032,0.288745,0.0887571,0.0421472,0.174419,0.2,0.0783598,0.218301,0.301137,0.0001,1e-05
22,712.734,0.067817,0.22206,0.000845317,0.000746921,0.258911,0.103962,0.054359,0.0932836,0.333333,0.0630498,0.22962,0.262836,0.0001,1e-05
23,745.224,0.0682797,0.22562,0.000804012,0.000710527,0.277314,0.126782,0.0580287,0.341463,0.186667,0.0709833,0.224741,0.287633,0.0001,1e-05
24,778.203,0.0730133,0.219174,0.000836769,0.0007389,0.286079,0.141363,0.079842,0.16129,0.266667,0.0665481,0.224768,0.251542,0.0001,1e-05
