epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,34.0083,0.26322,0.419519,0.650308,0.0280747,0.0170969,0.0952381,0.186667,0.11009,0.297574,0.376601,0.0001,1e-05
2,66.5723,0.105079,0.268162,0.39506,0.0564586,0.0225401,0.141176,0.16,0.113316,0.258925,0.426479,0.0001,1e-05
3,100.728,0.0966615,0.252207,0.358093,0.0770003,0.0425493,0.159091,0.0933333,0.13253,0.261982,0.432681,0.0001,1e-05
4,134.393,0.097683,0.251572,0.358169,0.0724863,0.0318978,0.152174,0.0933333,0.0955877,0.256888,0.372244,0.0001,1e-05
5,167.374,0.109859,0.211384,0.394334,0.0766735,0.0308321,0.106557,0.173333,0.0848358,0.259917,0.348933,0.0001,1e-05
6,199.885,0.0965726,0.221649,0.353086,0.145396,0.0840755,0.273973,0.266667,0.0911988,0.21041,0.366774,0.0001,1e-05
7,233.083,0.0857722,0.230458,0.312956,0.0947497,0.049181,0.20339,0.16,0.0899034,0.236787,0.356965,0.0001,1e-05
8,265.997,0.0779902,0.233099,0.299203,0.0984463,0.0519567,0.191781,0.186667,0.0732896,0.238025,0.290392,0.0001,1e-05
9,297.591,0.104175,0.166455,0.382387,0.233892,0.128308,0.314815,0.226667,0.0890054,0.159543,0.325992,0.0001,1e-05
10,330.864,0.101678,0.149408,0.375971,0.337598,0.195841,0.359551,0.426667,0.104349,0.135837,0.428267,0.0001,1e-05
11,364.479,0.100454,0.146697,0.370846,0.223509,0.107305,0.350877,0.266667,0.097481,0.152715,0.390174,0.0001,1e-05
12,395.639,0.0948481,0.15893,0.360276,0.411287,0.190637,0.508197,0.413333,0.112895,0.144468,0.427879,0.0001,1e-05
13,427.704,0.100743,0.146482,0.367234,0.658961,0.284675,0.708333,0.68,0.115789,0.0986778,0.476592,0.0001,1e-05
14,460.544,0.105781,0.117275,0.38351,0.532445,0.324428,0.577465,0.546667,0.0958818,0.144636,0.354508,0.0001,1e-05
15,494.834,0.0972376,0.152013,0.350159,0.552881,0.226232,0.788462,0.546667,0.138857,0.133745,0.511467,0.0001,1e-05
16,526.686,0.103177,0.130562,0.382375,0.656488,0.361099,0.728571,0.68,0.120842,0.100681,0.412254,0.0001,1e-05
17,560.598,0.0987931,0.127978,0.370716,0.50703,0.205242,0.840909,0.493333,0.175316,0.133129,0.568449,0.0001,1e-05
18,592.288,0.105195,0.108196,0.382346,0.79271,0.466878,0.648936,0.813333,0.136032,0.0895447,0.484121,0.0001,1e-05
19,625.472,0.124347,0.089795,0.424419,0.927505,0.51844,0.887324,0.84,0.110036,0.0755932,0.425649,0.0001,1e-05
20,658.879,0.106136,0.0907102,0.403465,0.648475,0.269002,0.820896,0.733333,0.109642,0.11322,0.497045,0.0001,1e-05
21,690.574,0.10742,0.0849249,0.415107,0.760771,0.325357,0.876923,0.76,0.157804,0.0641994,0.573582,0.0001,1e-05
22,722.257,0.106798,0.076292,0.409765,0.944256,0.531472,0.85,0.906667,0.132158,0.0417081,0.464779,0.0001,1e-05
23,756.208,0.106816,0.0605835,0.438468,0.862278,0.419164,0.825,0.88,0.102094,0.0598908,0.490837,0.0001,1e-05
24,788.702,0.108504,0.0653888,0.419994,0.86569,0.489739,0.907692,0.786667,0.101854,0.0726712,0.43172,0.0001,1e-05
25,820.937,0.106141,0.0574512,0.423259,0.863307,0.477484,0.873239,0.826667,0.0998703,0.0477238,0.445678,0.0001,1e-05
26,853.019,0.111885,0.0498261,0.436838,0.925702,0.505283,0.842105,0.853333,0.101761,0.0437559,0.451587,0.0001,1e-05
27,884.229,0.101442,0.0483545,0.406495,0.943952,0.547377,0.78022,0.946667,0.094916,0.0313761,0.429334,0.0001,1e-05
28,917.489,0.102376,0.0458006,0.410027,0.921558,0.531174,0.817073,0.893333,0.100499,0.0316253,0.427092,0.0001,1e-05
29,949.199,0.104941,0.0428344,0.430336,0.903154,0.498482,0.909091,0.8,0.10114,0.0620966,0.42368,0.0001,1e-05
30,981.537,0.0995769,0.0517668,0.405988,0.877594,0.406458,0.924242,0.813333,0.105531,0.0576358,0.460626,0.0001,1e-05
31,1013.06,0.10024,0.0415296,0.412646,0.937306,0.500948,0.873418,0.92,0.102348,0.033144,0.466187,0.0001,1e-05
32,1045.73,0.104913,0.0384673,0.420129,0.890926,0.48011,0.905405,0.893333,0.105019,0.0268522,0.477208,0.0001,1e-05
33,1079.02,0.10683,0.0508101,0.420087,0.803523,0.388276,0.869565,0.8,0.0997794,0.0581426,0.47637,0.0001,1e-05
34,1111.97,0.101412,0.0365203,0.412803,0.913334,0.480587,0.905405,0.893333,0.10089,0.0446884,0.448823,0.0001,1e-05
35,1145.34,0.101179,0.0360613,0.413036,0.930041,0.507593,0.902778,0.866667,0.0981149,0.0311382,0.434567,0.0001,1e-05
36,1178.3,0.0978809,0.0322006,0.385905,0.938262,0.483144,0.931507,0.906667,0.108443,0.0425125,0.452407,0.0001,1e-05
37,1211.09,0.095169,0.0368244,0.398029,0.910306,0.48268,0.891892,0.88,0.0991275,0.0433126,0.452394,0.0001,1e-05
38,1243.27,0.0966032,0.032233,0.411979,0.960087,0.563526,0.932432,0.92,0.0993729,0.0321533,0.4028,0.0001,1e-05
39,1278.24,0.105374,0.0327063,0.429187,0.939854,0.540682,0.898734,0.946667,0.0969513,0.0242044,0.40192,0.0001,1e-05
40,1310.61,0.0961185,0.0316459,0.408116,0.915037,0.479826,0.927536,0.853333,0.0966516,0.0337751,0.436165,0.0001,1e-05
41,1342.36,0.0991314,0.0301757,0.411075,0.926948,0.499499,0.905405,0.893333,0.108829,0.0420028,0.450086,0.0001,1e-05
42,1375.08,0.104492,0.032471,0.43105,0.920784,0.498704,0.906667,0.906667,0.107862,0.0430367,0.449205,0.0001,1e-05
43,1407.04,0.0992461,0.0309891,0.422768,0.93266,0.477314,0.932432,0.92,0.0975986,0.0206957,0.451255,0.0001,1e-05
44,1439.1,0.100005,0.0355571,0.417787,0.945299,0.515492,0.942029,0.866667,0.104831,0.0365602,0.439458,0.0001,1e-05
45,1471.76,0.100854,0.0329071,0.413291,0.965405,0.591417,0.918919,0.906667,0.0889505,0.0305532,0.389718,0.0001,1e-05
46,1506.76,0.0944962,0.0288563,0.398275,0.925443,0.511034,0.898734,0.946667,0.106102,0.0212035,0.431739,0.0001,1e-05
47,1539.68,0.0964417,0.0260894,0.387905,0.897316,0.496575,0.88,0.88,0.106491,0.0341693,0.458674,0.0001,1e-05
48,1571.78,0.0958599,0.0272225,0.399997,0.927272,0.599914,0.929577,0.88,0.0933699,0.0293611,0.365958,0.0001,1e-05
49,1606.16,0.104738,0.0254369,0.421174,0.913413,0.529869,0.893333,0.893333,0.114955,0.0196927,0.445648,0.0001,1e-05
50,1639.06,0.104651,0.0301615,0.414456,0.934143,0.544031,0.916667,0.88,0.101369,0.0267068,0.425966,0.0001,1e-05
51,1672.02,0.0975301,0.0279486,0.405534,0.912008,0.457852,0.860759,0.906667,0.0991762,0.0288232,0.470292,0.0001,1e-05
52,1705.12,0.0921931,0.02047,0.399076,0.948398,0.550337,0.921053,0.933333,0.103716,0.0209837,0.429699,0.0001,1e-05
53,1737.81,0.0891654,0.0245401,0.379776,0.936308,0.504154,0.942857,0.88,0.0965311,0.0233151,0.443932,0.0001,1e-05
54,1769.85,0.0931674,0.0250183,0.404438,0.944308,0.556808,0.942857,0.88,0.0842463,0.0229082,0.394386,0.0001,1e-05
55,1802.73,0.0949422,0.0224719,0.406579,0.951778,0.563112,0.958333,0.92,0.0961591,0.0174874,0.4248,0.0001,1e-05
56,1835.45,0.0950143,0.0309766,0.398324,0.909925,0.418983,0.883117,0.906667,0.104808,0.0268423,0.506347,0.0001,1e-05
57,1867.7,0.100201,0.0295666,0.410285,0.949186,0.567331,0.909091,0.933333,0.0983252,0.0167646,0.400983,0.0001,1e-05
58,1899.72,0.0993915,0.0309967,0.41648,0.897688,0.440552,0.970149,0.866667,0.103129,0.0346615,0.491341,0.0001,1e-05
59,1931.61,0.0918438,0.0331374,0.386338,0.967892,0.599346,0.930556,0.893333,0.0879869,0.0253083,0.365195,0.0001,1e-05
60,1963.53,0.0932528,0.0226157,0.411996,0.94887,0.583691,0.901235,0.973333,0.0932951,0.0229279,0.389995,0.0001,1e-05
61,1995.09,0.09602,0.0203041,0.399162,0.966278,0.58233,0.921053,0.933333,0.100493,0.0200842,0.414988,0.0001,1e-05
62,2026.31,0.0976053,0.027999,0.409911,0.962573,0.560716,0.931507,0.906667,0.0927102,0.0150085,0.408879,0.0001,1e-05
63,2057.36,0.0907339,0.0243554,0.394761,0.911441,0.478559,0.8625,0.92,0.113743,0.0215634,0.487729,0.0001,1e-05
64,2089,0.0900837,0.0229472,0.388515,0.941224,0.5257,0.957143,0.893333,0.103121,0.0143909,0.438685,0.0001,1e-05
65,2120.56,0.0898255,0.0255559,0.375735,0.916383,0.561148,0.902778,0.866667,0.0883914,0.0390644,0.372568,0.0001,1e-05
66,2152.08,0.0935971,0.0234847,0.387943,0.929095,0.559785,0.955882,0.866667,0.085596,0.0364502,0.393079,0.0001,1e-05
67,2183.87,0.0921425,0.020371,0.38714,0.914012,0.534217,0.878378,0.866667,0.0901767,0.0316137,0.41148,0.0001,1e-05
68,2215.73,0.0937527,0.0204368,0.396165,0.947222,0.538608,0.921053,0.933333,0.0978222,0.0144784,0.419408,0.0001,1e-05
