epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,28.9936,0.242363,0.554702,0.000514305,0.000512401,0.631233,0.00565262,0.00234862,0.010402,0.493333,0.151953,0.283946,0.559525,0.0001,1e-05
2,58.6953,0.120388,0.27766,0.000638497,0.000631359,0.41464,0.0203059,0.00868088,0.114286,0.0533333,0.112689,0.273738,0.371621,0.0001,1e-05
3,89.4865,0.0943038,0.260311,0.000729528,0.00072383,0.357833,0.0620164,0.0257378,0.222222,0.08,0.116023,0.2582,0.419051,0.0001,1e-05
4,120.121,0.0880005,0.254459,0.000842622,0.00083431,0.335669,0.078231,0.029928,0.0894309,0.146667,0.116333,0.251448,0.452982,0.0001,1e-05
5,150.768,0.0917657,0.244495,0.000943845,0.000934547,0.334916,0.07349,0.0428512,0.10101,0.266667,0.0790934,0.251218,0.330545,0.0001,1e-05
6,181.29,0.0924586,0.236365,0.000852208,0.000844652,0.344374,0.142224,0.0742565,0.313725,0.213333,0.0797147,0.228517,0.312308,0.0001,1e-05
7,211.621,0.0807876,0.236503,0.000804628,0.00079944,0.314265,0.0960873,0.0592964,0.189873,0.2,0.0751939,0.227221,0.313779,0.0001,1e-05
8,239.997,0.0866031,0.221945,0.000789616,0.000783873,0.33185,0.0935796,0.0414866,0.184783,0.226667,0.0777109,0.21922,0.32943,0.0001,1e-05
9,268.755,0.0823337,0.222273,0.000695812,0.000690829,0.308338,0.103042,0.0390167,0.0882353,0.32,0.113021,0.240425,0.456211,0.0001,1e-05
10,297.205,0.078212,0.216081,0.000604021,0.000602877,0.308843,0.0630851,0.029184,0.0846774,0.28,0.101848,0.234049,0.369719,0.0001,1e-05
11,326.502,0.0747315,0.229312,0.000588115,0.000584512,0.281088,0.0721231,0.0398662,0.0858896,0.186667,0.102901,0.233818,0.357114,0.0001,1e-05
12,355.093,0.0741942,0.228001,0.000536672,0.000533791,0.287162,0.103834,0.0605846,0.307692,0.106667,0.0709045,0.229991,0.29986,0.0001,1e-05
13,384.443,0.0796594,0.223969,0.000506679,0.000505076,0.309885,0.075836,0.0389386,0.0916031,0.16,0.0895296,0.227543,0.346727,0.0001,1e-05
14,413.459,0.0757037,0.227119,0.00047072,0.000468516,0.289862,0.0911095,0.0446768,0.191489,0.12,0.0712709,0.230312,0.289481,0.0001,1e-05
15,442.146,0.0828563,0.221913,0.000534254,0.000533177,0.295162,0.0568614,0.0370333,0.120879,0.146667,0.0835568,0.231946,0.312395,0.0001,1e-05
16,471.207,0.0746039,0.218913,0.000542407,0.000538509,0.288002,0.0592915,0.0277753,0.109756,0.12,0.109238,0.239777,0.391256,0.0001,1e-05
17,501.115,0.0695419,0.223689,0.000498704,0.000497505,0.277066,0.0793676,0.0443913,0.216216,0.106667,0.0855542,0.227771,0.317446,0.0001,1e-05
18,530.062,0.0665074,0.218039,0.000493267,0.000492025,0.264883,0.0886214,0.0458368,0.118012,0.253333,0.0834596,0.217232,0.328321,0.0001,1e-05
19,559.66,0.0695115,0.219396,0.000478983,0.000476631,0.26437,0.0820814,0.0492525,0.227273,0.133333,0.0781952,0.213523,0.303113,0.0001,1e-05
20,588.844,0.0734464,0.206943,0.000489079,0.000485131,0.281381,0.062425,0.032066,0.112245,0.146667,0.0749691,0.232723,0.307561,0.0001,1e-05
21,618.846,0.0763238,0.21673,0.000483723,0.000479635,0.289151,0.0730568,0.0337539,0.0776398,0.333333,0.0769596,0.216955,0.34892,0.0001,1e-05
22,651.338,0.0719301,0.212915,0.000441772,0.000438457,0.275848,0.100235,0.0638924,0.138614,0.373333,0.0710181,0.215816,0.284368,0.0001,1e-05
23,683.372,0.0717709,0.211847,0.000379738,0.000376932,0.278596,0.0795044,0.0494472,0.153061,0.2,0.0730737,0.213297,0.278297,0.0001,1e-05
24,715.638,0.0710176,0.207031,0.00035097,0.000348389,0.274676,0.174631,0.0988724,0.282828,0.373333,0.0840197,0.201413,0.324537,0.0001,1e-05
25,749.566,0.0832688,0.189319,0.000346902,0.00034467,0.296712,0.235274,0.115593,0.367089,0.386667,0.0921406,0.178885,0.344655,0.0001,1e-05
26,781.326,0.0808705,0.175014,0.000339987,0.000337504,0.299781,0.216819,0.0991033,0.348837,0.4,0.0864415,0.176846,0.330108,0.0001,1e-05
27,809.964,0.0869848,0.171743,0.000338364,0.000335865,0.31417,0.256498,0.135461,0.397059,0.36,0.0980886,0.159454,0.40648,0.0001,1e-05
28,840.245,0.0934455,0.159344,0.000398001,0.000394881,0.347447,0.306136,0.178922,0.215247,0.64,0.0948283,0.136134,0.378001,0.0001,1e-05
29,870.689,0.106695,0.12315,0.000430674,0.000427222,0.396531,0.400716,0.213557,0.428571,0.56,0.119859,0.0974284,0.446866,0.0001,1e-05
30,900.61,0.121986,0.101576,0.000398379,0.000395031,0.4481,0.385343,0.211974,0.358974,0.56,0.102384,0.0992916,0.400204,0.0001,1e-05
31,929.195,0.0916628,0.120064,0.000385968,0.000382965,0.352293,0.434064,0.268366,0.461538,0.56,0.0960884,0.11916,0.36877,0.0001,1e-05
32,959.611,0.0906059,0.109043,0.000332045,0.000329941,0.353272,0.550476,0.29701,0.578947,0.44,0.0948887,0.0935239,0.382816,0.0001,1e-05
33,990.096,0.098446,0.101324,0.000298421,0.000296325,0.381325,0.599206,0.372149,0.422078,0.866667,0.0869366,0.0768972,0.351937,0.0001,1e-05
34,1020.71,0.104436,0.0943954,0.000316823,0.000314275,0.397511,0.501422,0.25642,0.494624,0.613333,0.125916,0.0774446,0.466107,0.0001,1e-05
35,1049.33,0.100798,0.0872696,0.000306975,0.000304523,0.380206,0.628786,0.339226,0.535088,0.813333,0.131703,0.0608265,0.48852,0.0001,1e-05
36,1077.75,0.104752,0.0740074,0.000296646,0.000294509,0.394833,0.717147,0.421022,0.710526,0.72,0.103199,0.05657,0.424425,0.0001,1e-05
37,1108.48,0.101424,0.0648204,0.000262953,0.000260585,0.398302,0.716866,0.324965,0.623656,0.773333,0.120963,0.0592692,0.534213,0.0001,1e-05
38,1137.41,0.10047,0.0665709,0.000281943,0.00027915,0.416381,0.789478,0.442094,0.788732,0.746667,0.115075,0.0381892,0.480627,0.0001,1e-05
39,1168.26,0.102886,0.0502274,0.000274664,0.000272739,0.406895,0.836556,0.466256,0.779221,0.8,0.109828,0.0424836,0.442456,0.0001,1e-05
40,1199.1,0.0989712,0.0505576,0.000284002,0.000281817,0.401444,0.78721,0.475897,0.636364,0.84,0.104421,0.0346765,0.432754,0.0001,1e-05
