experiment,test/loss_bbox,test/loss_ce,test/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B)
_2d000_1d000_nm00,0.08943661426504453,0.04468683673379322,0.34120553731918335,0.8991366007366807,0.6039451065716993,0.9130434782608695,0.875
_2d10_1d6_nm20,0.08084460720419884,0.03286672401979255,0.35844817757606506,0.9197988428819462,0.5932262381886523,0.9420289855072463,0.9027777777777778
_2d2_1d6_nm10,0.10201178242762883,0.03560270823072642,0.4053594370683034,0.9077864703660816,0.5913356753288078,0.8904109589041096,0.9027777777777778
_2d2_1d8_nm30,0.08320652258892854,0.024227819599521656,0.35351476073265076,0.9521565398298072,0.6417690701257064,0.9705882352941176,0.9166666666666666
_2d4_1d10_nm10,0.09646174063285191,0.06334131211042404,0.3901197711626689,0.8709108360801266,0.5590332243438056,0.9298245614035088,0.7361111111111112
_2d4_1d10_nm30,0.0953157829741637,0.03350350148199747,0.38675803939501446,0.9282517126447563,0.6137474289147696,0.9066666666666666,0.9444444444444444
_2d4_1d4_nm20,0.09932329629858334,0.03670719093255078,0.37089841564496356,0.932955271414382,0.6093038786505567,0.9264705882352942,0.875
_2d6_1d2_nm20,0.09140888539453347,0.03395816789513143,0.3782498041788737,0.9220626384071025,0.6449450020384316,0.9565217391304348,0.9166666666666666
_2d8_1d4_nm20,0.10632099707921346,0.0342915115179494,0.3877934416135152,0.9320417666606937,0.6083066157346662,0.9295774647887324,0.9166666666666666
_2d8_1d6_nm30,0.09965478504697482,0.03896201712389787,0.38935117423534393,0.9135786989908189,0.5607726967083704,0.9682539682539683,0.8472222222222222
_2d8_1d8_nm10,0.10002066940069199,0.027317061671055853,0.40898143748442334,0.9483809167041498,0.6033837478011679,0.9850746268656716,0.9166666666666666
