epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,26.2689,0.250939,0.494216,0.635175,0.0494101,0.0204163,0.0901639,0.146667,0.157659,0.279698,0.606412,0.0001,1e-05
2,53.1879,0.148181,0.250097,0.516128,0.0249977,0.011188,0.0961538,0.0666667,0.107829,0.249383,0.475005,0.0001,1e-05
3,78.6534,0.114182,0.23464,0.433935,0.0436389,0.0179406,0.16129,0.0666667,0.128565,0.225503,0.501059,0.0001,1e-05
4,105.082,0.122508,0.218102,0.460783,0.0820215,0.0316786,0.230769,0.12,0.120474,0.22404,0.486715,0.0001,1e-05
5,132.82,0.0994586,0.20545,0.379464,0.158954,0.0774226,0.372093,0.213333,0.136973,0.17685,0.528289,0.0001,1e-05
6,160.251,0.103479,0.186132,0.399589,0.128581,0.0635162,0.182796,0.226667,0.0818452,0.207727,0.370442,0.0001,1e-05
7,185.534,0.109443,0.185581,0.410636,0.160614,0.0684744,0.195489,0.346667,0.0969024,0.214306,0.374927,0.0001,1e-05
8,211.37,0.0960302,0.19967,0.347455,0.0889829,0.0452509,0.177419,0.146667,0.109181,0.250409,0.35286,0.0001,1e-05
9,237.083,0.0966236,0.239845,0.355283,0.111239,0.0633372,0.196429,0.146667,0.0763595,0.235883,0.303489,0.0001,1e-05
10,262.421,0.0893119,0.197417,0.336761,0.174156,0.100881,0.247191,0.293333,0.101744,0.185823,0.387512,0.0001,1e-05
11,290.142,0.0996577,0.180978,0.357374,0.18181,0.0863469,0.28,0.28,0.0865926,0.19727,0.380857,0.0001,1e-05
12,315.433,0.0919999,0.193242,0.359974,0.332466,0.193924,0.378788,0.333333,0.0799333,0.193414,0.353603,0.0001,1e-05
13,343.053,0.0869801,0.170912,0.327274,0.351605,0.193376,0.479452,0.466667,0.0866076,0.166889,0.349003,0.0001,1e-05
14,368.435,0.0975236,0.168162,0.349264,0.39398,0.222749,0.673913,0.413333,0.0943878,0.175792,0.363915,0.0001,1e-05
15,396.316,0.0959757,0.149547,0.362518,0.70472,0.365554,0.773585,0.546667,0.0888645,0.117452,0.370169,0.0001,1e-05
16,423.401,0.106341,0.123621,0.386689,0.75364,0.401144,0.883721,0.506667,0.102355,0.0953156,0.401454,0.0001,1e-05
17,450.83,0.10092,0.101307,0.376289,0.698344,0.339643,0.930233,0.533333,0.0964704,0.102928,0.426593,0.0001,1e-05
18,476.153,0.100948,0.110269,0.378013,0.604848,0.260585,0.666667,0.72,0.113308,0.134512,0.448573,0.0001,1e-05
