epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.97659,2.00376,1.77763,1.58265,0.00763854,0.00289932,0.00763854,0.178,0.335704,1.45673,0.974945,0.0001,1e-05
2,7.35877,0.259946,1.1256,0.875877,0.0344488,0.00674116,0.0344488,0.224,0.177634,0.877471,0.650016,0.0001,1e-05
3,10.6733,0.189267,0.726965,0.60063,0.0444484,0.0228438,0.0444484,0.196,0.188819,0.518364,0.665132,0.0001,1e-05
4,14.282,0.241727,0.461353,0.705246,0.0496346,0.0234936,0.0496346,0.248,0.173141,0.400073,0.668755,0.0001,1e-05
5,17.7842,0.18942,0.38988,0.581929,0.0152118,0.00642829,0.0152118,0.264,0.136595,0.36678,0.477931,0.0001,1e-05
6,20.9847,0.111553,0.363597,0.369571,0.0183743,0.00855278,0.0183743,0.296,0.128652,0.338423,0.455311,0.0001,1e-05
7,24.5324,0.140992,0.329106,0.476259,0.0457702,0.0168443,0.0457702,0.31,0.125309,0.310119,0.445736,0.0001,1e-05
8,27.9665,0.100636,0.304567,0.365754,0.0386657,0.0185825,0.0386657,0.346,0.0963862,0.302537,0.327746,0.0001,1e-05
9,31.4476,0.103666,0.300792,0.387014,0.047449,0.0182144,0.047449,0.326,0.119603,0.29,0.428255,0.0001,1e-05
10,35.0466,0.149331,0.285044,0.406004,0.0634068,0.023233,0.0634068,0.356,0.10393,0.280778,0.405596,0.0001,1e-05
11,38.7545,0.0925618,0.278809,0.34597,0.0563626,0.0241448,0.0563626,0.362,0.0906722,0.276051,0.313865,0.0001,1e-05
12,42.2565,0.0893542,0.276341,0.323025,0.0545916,0.0303367,0.0545916,0.34,0.0831049,0.272784,0.278667,0.0001,1e-05
13,45.6246,0.0804785,0.273197,0.293223,0.0598365,0.0262467,0.0598365,0.33,0.0808907,0.274731,0.299008,0.0001,1e-05
14,48.7398,0.0726012,0.27063,0.258027,0.0559099,0.0273248,0.0559099,0.354,0.0772272,0.268057,0.279791,0.0001,1e-05
15,52.2104,0.0651552,0.266385,0.266596,0.0710624,0.0378748,0.0710624,0.362,0.0865591,0.260236,0.29352,0.0001,1e-05
16,55.6233,0.0642734,0.260074,0.246362,0.0756574,0.0345489,0.0756574,0.37,0.0830183,0.26259,0.314323,0.0001,1e-05
17,59.1126,0.0692077,0.260148,0.267453,0.0830027,0.0429883,0.0830027,0.358,0.0962063,0.253288,0.31691,0.0001,1e-05
18,62.7494,0.0849642,0.249251,0.277405,0.0737143,0.0466944,0.0737143,0.402,0.0598836,0.243954,0.243483,0.0001,1e-05
19,66.4513,0.0994876,0.248671,0.284112,0.0705311,0.038503,0.0705311,0.362,0.089639,0.245945,0.322409,0.0001,1e-05
20,70.0619,0.0788503,0.243835,0.286738,0.0671095,0.0346402,0.0671095,0.36,0.0928866,0.238111,0.385232,0.0001,1e-05
21,73.667,0.0819351,0.230864,0.309727,0.0617349,0.0388244,0.0617349,0.398,0.0695681,0.229631,0.277739,0.0001,1e-05
22,77.3082,0.0675723,0.226019,0.253663,0.0522469,0.0329357,0.0522469,0.372,0.0831471,0.227724,0.311097,0.0001,1e-05
23,81.0383,0.0851965,0.233043,0.291559,0.051276,0.023968,0.051276,0.383875,0.0802822,0.228696,0.30539,0.0001,1e-05
24,84.7031,0.0720118,0.222703,0.260971,0.0603937,0.0378487,0.0603937,0.392,0.0682608,0.21865,0.276614,0.0001,1e-05
