epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.55863,2.02781,1.78004,1.58836,0.00895381,0.00359139,0.00895381,0.204,0.322177,1.42243,0.955272,0.0001,1e-05
2,6.576,0.23193,1.05234,0.836783,0.0284728,0.00996352,0.0284728,0.224,0.171166,0.681239,0.654333,0.0001,1e-05
3,9.50293,0.211936,0.574906,0.680943,0.0509899,0.0289605,0.0509899,0.084,0.204981,0.442207,0.682053,0.0001,1e-05
4,12.6274,0.261993,0.409809,0.727277,0.0417111,0.0135593,0.0417111,0.146,0.177394,0.374238,0.587255,0.0001,1e-05
5,15.9034,0.237417,0.364038,0.701463,0.0210014,0.00582977,0.0210014,0.146,0.21266,0.349776,0.658901,0.0001,1e-05
6,18.9974,0.158732,0.339697,0.530237,0.0186165,0.00968493,0.0186165,0.294,0.155634,0.3239,0.497274,0.0001,1e-05
7,22.2465,0.144234,0.318743,0.500165,0.0155294,0.00902268,0.0155294,0.336,0.123371,0.311183,0.440324,0.0001,1e-05
8,25.2761,0.116142,0.299907,0.405692,0.0131664,0.0066481,0.0131664,0.36,0.0873151,0.307225,0.307636,0.0001,1e-05
9,28.3893,0.100084,0.306012,0.352798,0.00993199,0.00457046,0.00993199,0.374,0.077575,0.302078,0.280311,0.0001,1e-05
10,31.5376,0.114784,0.292587,0.381988,0.00778336,0.00395383,0.00778336,0.356,0.101095,0.281945,0.348913,0.0001,1e-05
11,34.7503,0.10331,0.282498,0.365985,0.00546953,0.00266237,0.00546953,0.308,0.125324,0.280201,0.4283,0.0001,1e-05
12,37.8825,0.111337,0.283793,0.37148,0.00564636,0.00323434,0.00564636,0.352,0.09686,0.279345,0.343051,0.0001,1e-05
13,40.9463,0.0917302,0.269218,0.311234,0.00666591,0.0040174,0.00666591,0.372,0.085728,0.27131,0.282742,0.0001,1e-05
14,43.963,0.0913718,0.26812,0.310967,0.00663409,0.00363088,0.00663409,0.338,0.0914356,0.270755,0.316577,0.0001,1e-05
