epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.67077,2.44212,1.76106,0.000854924,1.81467,0,0,0,0,0.592475,1.38044,1.40287,0.0001,1e-05
2,6.86799,0.60713,1.24723,0.000819274,1.38221,0,0,0,0,0.282661,0.99608,0.920839,0.0001,1e-05
3,9.80108,0.311477,0.864057,0.000809405,0.860357,0,0,0,0,0.203495,0.634339,0.605019,0.0001,1e-05
4,12.8264,0.254005,0.578522,0.000790588,0.73912,0,0,0,0,0.259045,0.482555,0.820142,0.0001,1e-05
5,16.1225,0.240959,0.465094,0.000754446,0.706931,4.83312e-05,1.44994e-05,4.83312e-05,0.009375,0.187419,0.409557,0.560939,0.0001,1e-05
6,19.2317,0.162816,0.394668,0.000728482,0.521853,9.5993e-05,1.91986e-05,9.5993e-05,0.00625,0.169956,0.3685,0.659343,0.0001,1e-05
7,22.4452,0.158924,0.369124,0.000693067,0.621987,0,0,0,0,0.139604,0.356454,0.533246,0.0001,1e-05
8,25.5204,0.147128,0.352804,0.000674614,0.496228,9.0009e-05,9.0009e-06,9.0009e-05,0.003125,0.145846,0.336255,0.492314,0.0001,1e-05
9,28.4755,0.135051,0.328755,0.000670655,0.456024,0.000152658,8.58887e-05,0.000152658,0.021875,0.192834,0.327251,0.660772,0.0001,1e-05
10,31.6349,0.132487,0.316164,0.000637515,0.466162,0.00229717,0.00100771,0.00229717,0.075375,0.106681,0.315576,0.360386,0.0001,1e-05
11,34.976,0.116852,0.305696,0.000601902,0.384091,0.011744,0.00528154,0.011744,0.259375,0.0842372,0.312951,0.327826,0.0001,1e-05
12,38.3545,0.0927244,0.294115,0.000588695,0.371961,0.0159935,0.00882731,0.0159935,0.541375,0.0821424,0.303734,0.313826,0.0001,1e-05
13,41.5697,0.0929262,0.291414,0.000568897,0.340525,0.0177918,0.00815719,0.0177918,0.5575,0.0907747,0.30282,0.365533,0.0001,1e-05
14,44.7738,0.0993321,0.291377,0.000558056,0.357598,0.0234035,0.0104705,0.0234035,0.577125,0.0771123,0.295055,0.302378,0.0001,1e-05
15,48.0212,0.10681,0.280804,0.000547892,0.347684,0.0279588,0.0140934,0.0279588,0.587125,0.0769867,0.290086,0.285993,0.0001,1e-05
16,51.0777,0.0809141,0.279388,0.000538255,0.28592,0.0333099,0.0172419,0.0333099,0.59975,0.0730178,0.282842,0.29235,0.0001,1e-05
17,54.2239,0.0664263,0.276592,0.000529427,0.258598,0.0308854,0.0167982,0.0308854,0.592625,0.0578576,0.279176,0.237717,0.0001,1e-05
18,57.4943,0.188644,0.270411,0.000506076,0.36187,0.0293076,0.0159068,0.0293076,0.637,0.067476,0.275381,0.261879,0.0001,1e-05
19,60.6605,0.0742311,0.26846,0.000487781,0.310024,0.038466,0.0213696,0.038466,0.711375,0.071288,0.271136,0.288726,0.0001,1e-05
20,63.9667,0.0680771,0.261908,0.000470969,0.269656,0.0433751,0.0248233,0.0433751,0.738875,0.0625431,0.268272,0.265346,0.0001,1e-05
21,67.1605,0.0605027,0.261453,0.000467216,0.243744,0.041938,0.0241055,0.041938,0.8085,0.0527522,0.267098,0.19943,0.0001,1e-05
22,70.2405,0.0676448,0.255405,0.000475894,0.275329,0.0407668,0.0282235,0.0407668,0.77075,0.0589358,0.259376,0.234598,0.0001,1e-05
23,73.466,0.0627452,0.255829,0.000468389,0.26186,0.0394144,0.0232037,0.0394144,0.57875,0.0853974,0.255239,0.416424,0.0001,1e-05
24,76.7386,0.15632,0.251302,0.000427424,0.362021,0.049291,0.0301268,0.049291,0.8075,0.0503441,0.249025,0.202126,0.0001,1e-05
25,79.9538,0.0542271,0.249962,0.00045479,0.223557,0.0475759,0.0288872,0.0475759,0.805625,0.0416606,0.24882,0.181348,0.0001,1e-05
26,83.0611,0.0551599,0.249156,0.000449997,0.197338,0.0574376,0.0351161,0.0574376,0.669375,0.0765223,0.247695,0.28719,0.0001,1e-05
27,86.1522,0.0553631,0.247679,0.000423496,0.230732,0.0561861,0.0280656,0.0561861,0.461625,0.0939233,0.246369,0.460534,0.0001,1e-05
28,89.4583,0.0638563,0.248322,0.000409024,0.266749,0.0779218,0.0507581,0.0779218,0.620125,0.0700177,0.240733,0.316271,0.0001,1e-05
29,92.6021,0.0640442,0.239124,0.000410515,0.249802,0.0799431,0.0395935,0.0799431,0.65325,0.0537216,0.239822,0.209047,0.0001,1e-05
30,95.9404,0.0558271,0.241359,0.000408917,0.213745,0.0812536,0.036367,0.0812536,0.752125,0.0492435,0.238271,0.188839,0.0001,1e-05
31,99.0687,0.0546577,0.244456,0.000416865,0.216835,0.0768146,0.0404228,0.0768146,0.775125,0.0500577,0.238134,0.197984,0.0001,1e-05
32,102.243,0.0488588,0.234851,0.000408413,0.197102,0.0779992,0.0435048,0.0779992,0.797875,0.045125,0.24087,0.18208,0.0001,1e-05
33,105.543,0.0518882,0.240659,0.000395258,0.202251,0.0754866,0.0430366,0.0754866,0.79825,0.047839,0.237709,0.198686,0.0001,1e-05
34,108.763,0.0411875,0.235916,0.000385378,0.168854,0.0979075,0.0660172,0.0979075,0.824625,0.0441,0.240632,0.183721,0.0001,1e-05
35,111.957,0.0632347,0.241685,0.000392395,0.225202,0.0626011,0.0356866,0.0626011,0.800375,0.0466657,0.243107,0.175851,0.0001,1e-05
