epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.698,2.33872,3.16912,0.00411171,0.00862079,1.63305,0,0,0,0,0.423461,2.73255,1.2995,0.0001,1e-05
2,6.80678,0.520751,2.42035,0.00385485,0.00789325,1.24962,1.7835e-05,1.7835e-06,1.7835e-05,0.003125,0.222713,1.90488,0.862319,0.0001,1e-05
3,9.97704,0.286447,1.71455,0.0035578,0.00724082,0.8675,0.000727331,0.000180023,0.000727331,0.078125,0.176116,1.21153,0.566936,0.0001,1e-05
4,13.1541,0.20783,1.07423,0.00336859,0.00668454,0.655121,0.00132312,0.000422505,0.00132312,0.13125,0.214813,0.767134,0.635615,0.0001,1e-05
5,16.4093,0.280861,0.687461,0.00312732,0.00611158,0.773333,0.00147828,0.0004716,0.00147828,0.134375,0.154075,0.510571,0.548596,0.0001,1e-05
6,19.6717,0.164126,0.469552,0.00297247,0.00565518,0.567608,0.00174099,0.000399517,0.00174099,0.11875,0.16124,0.404627,0.555368,0.0001,1e-05
7,22.9703,0.160855,0.351305,0.00277141,0.00511482,0.498646,0.00329403,0.00135723,0.00329403,0.2125,0.118493,0.341205,0.44125,0.0001,1e-05
8,26.1646,0.195338,0.318117,0.00262797,0.00465592,0.563789,0.00287191,0.00072372,0.00287191,0.14375,0.103188,0.334544,0.407567,0.0001,1e-05
9,29.3125,0.119054,0.319413,0.00253975,0.00435322,0.409362,0.00649307,0.00270463,0.00649307,0.2715,0.10309,0.323166,0.38518,0.0001,1e-05
10,32.5677,0.106103,0.304619,0.00242374,0.00398938,0.390873,0.00692495,0.00342976,0.00692495,0.44125,0.089855,0.311215,0.332728,0.0001,1e-05
11,35.731,0.106047,0.298977,0.00226855,0.0036295,0.386303,0.00833627,0.00326566,0.00833627,0.42375,0.105935,0.300843,0.42117,0.0001,1e-05
12,39.0563,0.112711,0.281111,0.00220742,0.00342118,0.435433,0.00875566,0.00422956,0.00875566,0.491125,0.0867698,0.292996,0.336152,0.0001,1e-05
13,42.3397,0.100758,0.270822,0.00207316,0.00315591,0.367202,0.00811336,0.00422917,0.00811336,0.372375,0.140651,0.284938,0.431879,0.0001,1e-05
14,45.5753,0.103727,0.271224,0.00199953,0.0029862,0.348807,0.0104097,0.00532638,0.0104097,0.4275,0.12857,0.27763,0.397061,0.0001,1e-05
15,48.817,0.0925608,0.266996,0.00205974,0.00300439,0.326072,0.0110107,0.00577746,0.0110107,0.464375,0.114043,0.276198,0.355045,0.0001,1e-05
16,51.9998,0.0839575,0.269029,0.00193683,0.00279409,0.303918,0.0105698,0.00555162,0.0105698,0.4775,0.0816277,0.271471,0.316279,0.0001,1e-05
17,55.2797,0.0792502,0.259731,0.0018715,0.00268554,0.318879,0.0113146,0.00674036,0.0113146,0.54275,0.0575115,0.268936,0.219294,0.0001,1e-05
18,58.7676,0.0610782,0.252561,0.0018068,0.00256147,0.239877,0.0129504,0.00762875,0.0129504,0.506125,0.0641319,0.265109,0.261759,0.0001,1e-05
19,62.0129,0.0809789,0.24921,0.00179663,0.00252311,0.309175,0.0091233,0.00399525,0.0091233,0.357,0.104581,0.264336,0.39001,0.0001,1e-05
20,65.3277,0.0843523,0.243093,0.00177145,0.00245651,0.349124,0.00649352,0.00295291,0.00649352,0.3345,0.118004,0.263122,0.450523,0.0001,1e-05
21,68.5237,0.0815265,0.246761,0.00173386,0.00238851,0.34038,0.00894347,0.00413805,0.00894347,0.375625,0.105076,0.255886,0.362201,0.0001,1e-05
22,71.7236,0.0840581,0.234256,0.00163733,0.00224409,0.300809,0.0158209,0.00964146,0.0158209,0.465125,0.0801811,0.250795,0.275614,0.0001,1e-05
23,75.0135,0.0717664,0.23991,0.00165998,0.00226705,0.296666,0.0224655,0.014366,0.0224655,0.49,0.0706198,0.250532,0.27953,0.0001,1e-05
