experiment,param_2d,param_1d,final_epoch,final_mAP50,final_mAP50_95,final_precision,final_recall,final_train_loss_bbox,final_train_loss_ce,final_train_loss_giou,final_val_loss_bbox,final_val_loss_ce,final_val_loss_giou
detr_50_2d000_1d000,0,0,400,0.998533,0.784045,0.998533,0.839375,0.0654993,0.0285866,0.214319,0.0557569,0.0139334,0.218091
detr_50_2d000_1d1,0,1,400,0.201752,0.131771,0.201752,0.884125,0.0268984,0.179062,0.100137,0.0354096,0.17869,0.144442
detr_50_2d000_1d2,0,2,400,0.167979,0.120569,0.167979,0.898375,0.0228628,0.191384,0.0914651,0.02661,0.198059,0.110994
detr_50_2d000_1d3,0,3,400,0.122141,0.103628,0.122141,0.88475,0.0246055,0.187995,0.0944272,0.0310049,0.188849,0.128175
detr_50_2d000_1d4,0,4,400,0.183645,0.133939,0.183645,0.896125,0.0300393,0.176078,0.110272,0.0328631,0.182519,0.136741
detr_50_2d000_1d5,0,5,400,0.108282,0.0844386,0.108282,0.904375,0.025101,0.185992,0.0967271,0.0290844,0.192649,0.126129
detr_50_2d000_1d6,0,6,400,0.150278,0.115051,0.150278,0.893875,0.028384,0.183556,0.108417,0.0317106,0.181446,0.134773
detr_50_2d000_1d7,0,7,400,0.128132,0.0942899,0.128132,0.900125,0.0258182,0.194788,0.0996716,0.0289096,0.195069,0.129891
detr_50_2d000_1d8,0,8,400,0.204213,0.161009,0.204213,0.90325,0.027345,0.172953,0.104862,0.0341024,0.170725,0.136078
detr_50_2d000_1d9,0,9,400,0.629438,0.474917,0.629438,0.89325,0.0456602,0.0955756,0.161342,0.0504555,0.0780961,0.198367
detr_50_2d000_1d10,0,10,400,0.219003,0.169731,0.219003,0.901,0.0265303,0.169606,0.0945107,0.0305709,0.171832,0.125918
detr_50_2d1_1d000,1,0,400,0.335532,0.264708,0.335532,0.90725,0.0286828,0.160965,0.111698,0.0325532,0.169456,0.138644
detr_50_2d1_1d1,1,1,400,0.3112,0.253214,0.3112,0.898125,0.03105,0.150421,0.116304,0.038134,0.139167,0.153127
detr_50_2d1_1d2,1,2,400,0.26785,0.193801,0.26785,0.91975,0.0270302,0.177124,0.0966824,0.0262965,0.178673,0.118595
detr_50_2d1_1d3,1,3,400,0.497293,0.392897,0.497293,0.902375,0.0360708,0.142797,0.131481,0.0386454,0.123942,0.153647
detr_50_2d1_1d4,1,4,400,0.0918253,0.0702766,0.0918253,0.889,0.0241105,0.194167,0.093171,0.0310175,0.198452,0.131874
detr_50_2d1_1d5,1,5,400,0.810331,0.611391,0.810331,0.88525,0.0470727,0.0662398,0.176235,0.0554859,0.0522447,0.226472
detr_50_2d1_1d6,1,6,400,0.281853,0.220954,0.281853,0.91175,0.0314106,0.15843,0.108668,0.0360366,0.157451,0.13715
