epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.78499,2.43359,1.76116,0.00338057,1.81416,0,0,0,0,0.557721,1.35031,1.37661,0.0001,1e-05
2,7.16412,0.522545,1.24274,0.00314638,1.24116,0,0,0,0,0.258219,1.00856,0.769924,0.0001,1e-05
3,10.2442,0.241025,0.849746,0.00299566,0.692742,0,0,0,0,0.18228,0.584218,0.64321,0.0001,1e-05
4,13.4475,0.220624,0.532767,0.0027973,0.659361,0.000427821,4.27821e-05,0.000427821,0.003125,0.179803,0.470933,0.548766,0.0001,1e-05
5,16.8761,0.161984,0.46001,0.00255784,0.46798,0,0,0,0,0.108158,0.409574,0.385592,0.0001,1e-05
6,20.0957,0.1077,0.40699,0.00239583,0.368254,0,0,0,0,0.120715,0.370331,0.392885,0.0001,1e-05
7,23.4867,0.112085,0.365398,0.00221714,0.366636,0,0,0,0,0.118636,0.350908,0.37996,0.0001,1e-05
8,26.7221,0.107152,0.346183,0.00213148,0.376562,0,0,0,0,0.0860232,0.34072,0.295523,0.0001,1e-05
9,29.8458,0.10475,0.336623,0.00207818,0.318947,0,0,0,0,0.115697,0.332722,0.393715,0.0001,1e-05
10,33.161,0.0799694,0.326466,0.0019135,0.293864,0.00206271,0.000618812,0.00206271,0.006,0.0774755,0.328222,0.277296,0.0001,1e-05
11,36.6928,0.0882133,0.319441,0.00172899,0.284779,0.0103527,0.00270592,0.0103527,0.160125,0.0838835,0.322676,0.303657,0.0001,1e-05
12,40.2167,0.0872166,0.302335,0.00168267,0.319978,0.0155119,0.00730173,0.0155119,0.542875,0.0941863,0.314849,0.334778,0.0001,1e-05
13,43.5816,0.0742201,0.300089,0.00157996,0.291767,0.0179631,0.00895278,0.0179631,0.67225,0.0686304,0.309109,0.282289,0.0001,1e-05
14,46.9491,0.0848513,0.299834,0.0015675,0.309756,0.0187625,0.0098104,0.0187625,0.664875,0.0683938,0.305553,0.290559,0.0001,1e-05
15,50.323,0.0741313,0.291615,0.00154925,0.279313,0.0227055,0.01136,0.0227055,0.696875,0.0770372,0.298402,0.289276,0.0001,1e-05
16,53.5074,0.0642181,0.292418,0.00152076,0.246094,0.0170438,0.00982008,0.0170438,0.616375,0.0593198,0.292879,0.227298,0.0001,1e-05
17,56.7693,0.0712719,0.285642,0.0015054,0.272096,0.0241137,0.00988436,0.0241137,0.584625,0.0659496,0.285498,0.239526,0.0001,1e-05
18,60.1795,0.121726,0.282699,0.00142766,0.309443,0.0232797,0.00853018,0.0232797,0.571375,0.0956578,0.279384,0.319537,0.0001,1e-05
19,63.4394,0.0609795,0.278984,0.00137707,0.237261,0.0210085,0.00916805,0.0210085,0.57875,0.108196,0.276425,0.280631,0.0001,1e-05
