epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.77194,2.34745,3.16673,0.00654867,0.0019837,1.63917,0,0,0,0,0.483347,2.68387,1.31527,0.0001,1e-05
2,6.91907,0.480358,2.37481,0.00608868,0.00189484,1.26514,0.000168917,2.11952e-05,0.000168917,0.02075,0.25548,1.83741,0.974439,0.0001,1e-05
3,10.1781,0.253649,1.58819,0.00557856,0.00178709,0.82751,0.00210269,0.000558229,0.00210269,0.11875,0.222663,1.01198,0.688496,0.0001,1e-05
4,13.3831,0.241838,0.924104,0.00529005,0.0017306,0.727248,0.00427823,0.00167842,0.00427823,0.203125,0.189542,0.605398,0.60914,0.0001,1e-05
5,16.7559,0.18668,0.674929,0.00489374,0.00164105,0.563578,0.00333851,0.0013066,0.00333851,0.2,0.125611,0.466176,0.50258,0.0001,1e-05
6,20.0641,0.149856,0.464506,0.00471513,0.00159239,0.53132,0.00819369,0.00334961,0.00819369,0.253125,0.10239,0.345734,0.371569,0.0001,1e-05
7,23.4377,0.158279,0.341898,0.00446718,0.00152859,0.464711,0.0226627,0.00890557,0.0226627,0.196875,0.1397,0.318636,0.478944,0.0001,1e-05
8,26.6831,0.212212,0.315963,0.00430384,0.00148049,0.604274,0.0342259,0.0126201,0.0342259,0.121875,0.130481,0.317365,0.474803,0.0001,1e-05
9,29.8527,0.145954,0.31021,0.00424706,0.00144648,0.552438,0.0362908,0.0134544,0.0362908,0.183875,0.114133,0.317204,0.439332,0.0001,1e-05
10,33.1164,0.127003,0.30261,0.00406573,0.00138832,0.432812,0.0192737,0.00843186,0.0192737,0.29925,0.11937,0.313872,0.391499,0.0001,1e-05
11,36.3233,0.116451,0.309399,0.0037941,0.00130176,0.393439,0.00943251,0.00385631,0.00943251,0.394,0.0939818,0.311938,0.384995,0.0001,1e-05
12,39.5686,0.119239,0.303348,0.00366266,0.00124781,0.440002,0.0061394,0.00216216,0.0061394,0.3775,0.0879994,0.311246,0.340849,0.0001,1e-05
13,43.0335,0.0923306,0.299018,0.00345836,0.0011772,0.33384,0.00579239,0.00306735,0.00579239,0.479,0.0974685,0.302041,0.313304,0.0001,1e-05
14,46.3257,0.093174,0.298661,0.00334277,0.00112239,0.334194,0.00698742,0.00305879,0.00698742,0.443875,0.0679196,0.295435,0.267392,0.0001,1e-05
15,49.6287,0.081848,0.286369,0.00343119,0.00112494,0.302881,0.00816156,0.00400759,0.00816156,0.387625,0.0890373,0.281879,0.342251,0.0001,1e-05
16,52.8496,0.101399,0.275502,0.00324003,0.00106115,0.389447,0.0154147,0.00597745,0.0154147,0.3725,0.0929062,0.275291,0.391694,0.0001,1e-05
17,56.1999,0.0851823,0.27331,0.003151,0.00102889,0.345879,0.0108011,0.00495788,0.0108011,0.428625,0.0717217,0.273332,0.312714,0.0001,1e-05
18,59.6568,0.0777944,0.262136,0.00307971,0.000996901,0.315584,0.0147604,0.00841652,0.0147604,0.462875,0.0856047,0.262568,0.303342,0.0001,1e-05
19,62.9348,0.072805,0.253611,0.00310786,0.00100206,0.312122,0.0201063,0.0101617,0.0201063,0.471,0.0741241,0.252669,0.284689,0.0001,1e-05
20,66.2623,0.0763559,0.24633,0.00307525,0.000989054,0.319207,0.0242145,0.0132395,0.0242145,0.473125,0.0839442,0.242919,0.308243,0.0001,1e-05
21,69.5061,0.0674425,0.24426,0.00301464,0.000968,0.271054,0.0143061,0.0087503,0.0143061,0.504625,0.0661412,0.240189,0.28241,0.0001,1e-05
22,72.8074,0.0727246,0.233878,0.00282128,0.00091252,0.268865,0.0156127,0.0105183,0.0156127,0.52875,0.071923,0.231952,0.254575,0.0001,1e-05
23,76.1647,0.0619973,0.241543,0.00286614,0.000925552,0.239345,0.0157657,0.00870197,0.0157657,0.4925,0.0695403,0.229824,0.256248,0.0001,1e-05
24,79.3724,0.0719,0.242654,0.00274924,0.000889911,0.27915,0.00900438,0.00541636,0.00900438,0.4835,0.071171,0.244092,0.29989,0.0001,1e-05
