folder,epoch,metrics/mAP50-95(B),metrics/mAP50(B),metrics/precision(B),metrics/recall(B),train/loss_bbox,train/loss_ce,train/loss_giou,val/loss_bbox,val/loss_ce,val/loss_giou
detr_50_2d9_1d2,368.0,0.815154,1.0,1.0,0.86075,0.0416604,0.0206354,0.211218,0.0507343,0.0147197,0.214818
detr_50_2d2_1d8,364.0,0.81333,1.0,1.0,0.864125,0.044696,0.0280964,0.212207,0.0508938,0.0153582,0.211907
detr_50_2d1_1d4,393.0,0.810799,1.0,1.0,0.843125,0.0425309,0.00711341,0.189692,0.048469,0.00383815,0.195887
detr_50_2d10_1d3,310.0,0.80841,0.992094,0.992094,0.863625,0.0413879,0.0202182,0.195032,0.0505515,0.0118654,0.206611
detr_50_2d10_1d000,250.0,0.808093,0.9967,0.9967,0.87325,0.0473096,0.0294676,0.223543,0.0514273,0.0169763,0.2049
detr_50_2d6_1d9,400.0,0.806831,1.0,1.0,0.84625,0.0549593,0.0210725,0.223791,0.0514781,0.00635345,0.208399
detr_50_2d7_1d2,389.0,0.805727,1.0,1.0,0.87075,0.0423789,0.0174806,0.192657,0.0466295,0.0105651,0.201657
detr_50_2d10_1d10,323.0,0.803769,0.995453,0.995453,0.84,0.0381995,0.0127276,0.173775,0.0506292,0.00769973,0.203918
detr_50_2d3_1d4,392.0,0.803408,1.0,1.0,0.843625,0.0429736,0.0110823,0.182977,0.0496665,0.00755204,0.198823
detr_50_2d2_1d3,399.0,0.802983,1.0,1.0,0.838,0.0402375,0.0149693,0.189053,0.0520576,0.00551778,0.212112
