epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.67826,2.05426,1.7756,1.56962,0.0109753,0.00382633,0.0109753,0.162,0.33752,1.39995,1.04208,0.0001,1e-05
2,6.858,0.283761,1.11469,0.924679,0.00562197,0.0016332,0.00562197,0.16,0.218635,0.918282,0.800834,0.0001,1e-05
3,9.96059,0.178645,0.725439,0.619459,0.00876027,0.00431322,0.00876027,0.224,0.144967,0.5279,0.46087,0.0001,1e-05
4,13.2845,0.175644,0.499521,0.567059,0.0130162,0.00456025,0.0130162,0.278,0.166994,0.428754,0.562721,0.0001,1e-05
5,16.7516,0.155802,0.440944,0.486687,0.00851532,0.00415251,0.00851532,0.35,0.0962456,0.373032,0.389756,0.0001,1e-05
6,20.0254,0.111678,0.37202,0.387487,0.0319149,0.00735293,0.0319149,0.324,0.102469,0.332408,0.339218,0.0001,1e-05
7,23.4362,0.122456,0.330715,0.394743,0.0120261,0.00455506,0.0120261,0.294,0.118855,0.316891,0.41523,0.0001,1e-05
8,26.6169,0.125589,0.309589,0.418352,0.0190656,0.00848115,0.0190656,0.328,0.0903591,0.306369,0.328217,0.0001,1e-05
9,29.8576,0.0946025,0.304846,0.332411,0.0245736,0.0122279,0.0245736,0.338,0.105125,0.297932,0.363498,0.0001,1e-05
10,33.1687,0.152692,0.293092,0.461732,0.0272904,0.010674,0.0272904,0.366,0.0840039,0.291283,0.359972,0.0001,1e-05
11,36.5191,0.0919828,0.286985,0.356019,0.0232704,0.00962476,0.0232704,0.368,0.0829747,0.287457,0.323553,0.0001,1e-05
12,39.742,0.0847978,0.288773,0.325282,0.0235824,0.00831863,0.0235824,0.308,0.0784209,0.284294,0.303874,0.0001,1e-05
13,42.9589,0.0905029,0.273733,0.341442,0.0373255,0.0145,0.0373255,0.304,0.102965,0.276159,0.353416,0.0001,1e-05
14,46.1104,0.0948081,0.272311,0.316008,0.044742,0.0171734,0.044742,0.334,0.0779086,0.271584,0.27274,0.0001,1e-05
15,49.4144,0.0785119,0.271067,0.308985,0.0445182,0.0134123,0.0445182,0.322,0.130318,0.2685,0.442484,0.0001,1e-05
16,52.5915,0.102321,0.266437,0.354542,0.0345432,0.0103749,0.0345432,0.382,0.063642,0.269575,0.253462,0.0001,1e-05
17,55.852,0.07105,0.266132,0.276176,0.0353354,0.0153215,0.0353354,0.394,0.0545281,0.261855,0.211955,0.0001,1e-05
18,59.2234,0.0718258,0.262059,0.24347,0.0382777,0.0159058,0.0382777,0.336,0.076678,0.25776,0.287371,0.0001,1e-05
19,62.6289,0.109272,0.262621,0.291594,0.0453437,0.0225704,0.0453437,0.368,0.057284,0.256021,0.212789,0.0001,1e-05
20,65.9629,0.0766609,0.258274,0.29375,0.0418471,0.0183468,0.0418471,0.35,0.0686307,0.253797,0.282521,0.0001,1e-05
21,69.2606,0.0733396,0.248774,0.272568,0.0580562,0.033686,0.0580562,0.386,0.053298,0.249617,0.217393,0.0001,1e-05
22,72.5918,0.0598964,0.248641,0.226186,0.0342019,0.0247592,0.0342019,0.402,0.0559915,0.247962,0.21689,0.0001,1e-05
23,76.0358,0.0589372,0.250851,0.236282,0.0350443,0.0201171,0.0350443,0.382,0.0570188,0.244979,0.236363,0.0001,1e-05
24,79.3635,0.0579858,0.238807,0.234482,0.038045,0.0229091,0.038045,0.398,0.0489736,0.243744,0.212063,0.0001,1e-05
25,82.734,0.0560084,0.245957,0.217967,0.0624285,0.0313627,0.0624285,0.445,0.0590494,0.241657,0.23358,0.0001,1e-05
26,85.9346,0.0634804,0.244404,0.209457,0.0761598,0.0418895,0.0761598,0.46225,0.0490673,0.238987,0.186,0.0001,1e-05
27,89.2857,0.0549365,0.235798,0.208885,0.0576262,0.0315866,0.0576262,0.456375,0.0764658,0.237337,0.271552,0.0001,1e-05
28,92.6166,0.0654382,0.24183,0.252732,0.0626505,0.0322042,0.0626505,0.626625,0.0522082,0.238173,0.212503,0.0001,1e-05
29,95.7714,0.0475207,0.239521,0.201507,0.0648957,0.0392142,0.0648957,0.702375,0.0439025,0.235992,0.187334,0.0001,1e-05
30,99.0004,0.0453225,0.237119,0.182749,0.0692936,0.0344244,0.0692936,0.700375,0.0489326,0.234091,0.198623,0.0001,1e-05
31,102.412,0.05239,0.238476,0.20899,0.0987985,0.0486881,0.0987985,0.732,0.0401699,0.233669,0.167065,0.0001,1e-05
32,105.686,0.0432211,0.236244,0.160796,0.0847826,0.0519589,0.0847826,0.795375,0.0428664,0.23277,0.176116,0.0001,1e-05
33,109.08,0.0503046,0.23543,0.183902,0.0782558,0.0544085,0.0782558,0.807875,0.0478732,0.229997,0.198172,0.0001,1e-05
34,112.332,0.072491,0.231211,0.212643,0.0765988,0.052649,0.0765988,0.793625,0.0456432,0.231085,0.192211,0.0001,1e-05
35,115.564,0.0475152,0.233414,0.175602,0.08777,0.0527744,0.08777,0.830625,0.0422652,0.229508,0.184998,0.0001,1e-05
36,118.924,0.0449616,0.234145,0.162773,0.0495395,0.0327302,0.0495395,0.8295,0.0506299,0.228822,0.197534,0.0001,1e-05
37,122.139,0.0556816,0.228823,0.226633,0.0639537,0.0420114,0.0639537,0.79675,0.0550606,0.225841,0.225389,0.0001,1e-05
38,125.532,0.0505904,0.231604,0.195957,0.0764521,0.045023,0.0764521,0.8095,0.045516,0.22631,0.187812,0.0001,1e-05
