epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,5.34302,1.5525,1.42298,1.40758,0.00796472,0.00207966,0.00796472,0.174,0.239703,0.790171,0.859837,0.0001,1e-05
2,10.3122,0.221031,0.5681,0.700816,0.0545182,0.026029,0.0545182,0.312,0.126242,0.388915,0.476633,0.0001,1e-05
3,15.1572,0.162747,0.352194,0.51943,0.117127,0.0529453,0.117127,0.336,0.110198,0.325445,0.418472,0.0001,1e-05
4,20.4023,0.136669,0.303693,0.425639,0.0749502,0.0328624,0.0749502,0.342,0.111846,0.292634,0.40439,0.0001,1e-05
5,25.5466,0.10804,0.294726,0.346804,0.0418553,0.020989,0.0418553,0.382,0.0711302,0.29417,0.273617,0.0001,1e-05
6,30.7241,0.088555,0.288819,0.307723,0.0464871,0.0297427,0.0464871,0.402,0.0672004,0.279994,0.284125,0.0001,1e-05
7,35.8838,0.0803454,0.273018,0.277218,0.029159,0.0161885,0.029159,0.406,0.0635916,0.267256,0.250134,0.0001,1e-05
8,40.9666,0.0621107,0.257299,0.254466,0.0337881,0.0217191,0.0337881,0.446,0.0471897,0.257819,0.201187,0.0001,1e-05
9,45.9686,0.0682822,0.252467,0.254724,0.0525149,0.0346378,0.0525149,0.454,0.0472483,0.246979,0.203432,0.0001,1e-05
10,51.1492,0.0697701,0.243197,0.259461,0.07078,0.0474603,0.07078,0.438,0.0524337,0.241756,0.223438,0.0001,1e-05
11,56.2794,0.0880759,0.237364,0.271786,0.0586765,0.0418939,0.0586765,0.486375,0.0495791,0.238566,0.19366,0.0001,1e-05
12,61.3233,0.0634309,0.238588,0.231442,0.0483754,0.0287373,0.0483754,0.637,0.0423783,0.236154,0.184167,0.0001,1e-05
13,66.2712,0.087683,0.231354,0.243642,0.0500697,0.0321736,0.0500697,0.66125,0.055478,0.231018,0.272078,0.0001,1e-05
14,71.3337,0.0605271,0.224517,0.249494,0.0515073,0.0288802,0.0515073,0.629375,0.0464925,0.230983,0.209316,0.0001,1e-05
15,76.4521,0.058521,0.216206,0.22574,0.0555791,0.0406689,0.0555791,0.744625,0.0453219,0.218562,0.205185,0.0001,1e-05
