epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,6.26993,0.930519,1.29216,1.11436,0.0501544,0.00979123,0.0501544,0.138,0.224252,0.515051,0.875231,0.0001,1e-05
2,11.5723,0.20658,0.413592,0.638383,0.0486929,0.0165148,0.0486929,0.286,0.149974,0.332538,0.536282,0.0001,1e-05
3,17.1933,0.156923,0.32149,0.446063,0.0298877,0.0127707,0.0298877,0.372,0.0917178,0.306647,0.349543,0.0001,1e-05
4,22.9029,0.108496,0.302708,0.36307,0.0489698,0.0257161,0.0489698,0.396,0.0690288,0.298656,0.29016,0.0001,1e-05
5,28.7661,0.0842603,0.281594,0.298638,0.0571678,0.0308312,0.0571678,0.41,0.063362,0.270757,0.268068,0.0001,1e-05
6,34.5971,0.0810214,0.25677,0.295238,0.132233,0.0598409,0.132233,0.408,0.0642509,0.246846,0.282966,0.0001,1e-05
7,40.3027,0.0840826,0.227399,0.322429,0.125716,0.0779488,0.125716,0.42,0.0756738,0.223129,0.282627,0.0001,1e-05
8,45.9665,0.0676436,0.21659,0.269215,0.083676,0.0457079,0.083676,0.446,0.0463902,0.233346,0.196434,0.0001,1e-05
9,51.6893,0.0726718,0.217363,0.270761,0.0566596,0.0418623,0.0566596,0.47625,0.0637359,0.227586,0.259386,0.0001,1e-05
10,57.5267,0.066209,0.216392,0.256155,0.130718,0.0778402,0.130718,0.557125,0.0493894,0.233155,0.205276,0.0001,1e-05
11,63.4193,0.0624833,0.215212,0.222533,0.147692,0.095055,0.147692,0.676625,0.0549539,0.212395,0.223312,0.0001,1e-05
12,68.9813,0.0658144,0.215639,0.234231,0.221637,0.132804,0.221637,0.746875,0.0438151,0.21046,0.179615,0.0001,1e-05
13,74.689,0.0649718,0.221308,0.237479,0.174127,0.10935,0.174127,0.78775,0.0448274,0.220337,0.194188,0.0001,1e-05
14,80.2651,0.0640703,0.221055,0.248359,0.196209,0.0930227,0.196209,0.831125,0.0516735,0.224546,0.18849,0.0001,1e-05
15,85.9565,0.0611977,0.21961,0.230405,0.0778544,0.0487092,0.0778544,0.77625,0.0593184,0.221881,0.256799,0.0001,1e-05
16,91.466,0.0647819,0.220241,0.21826,0.0739746,0.0472218,0.0739746,0.8045,0.0454217,0.225501,0.191786,0.0001,1e-05
17,97.206,0.055597,0.22494,0.219105,0.0777827,0.042123,0.0777827,0.82925,0.0375659,0.220269,0.158003,0.0001,1e-05
18,102.956,0.0630164,0.217012,0.237631,0.0998861,0.0465216,0.0998861,0.7675,0.0582588,0.216408,0.239705,0.0001,1e-05
19,108.692,0.0764335,0.218034,0.25794,0.0764979,0.043903,0.0764979,0.80475,0.0460114,0.22289,0.197647,0.0001,1e-05
20,114.346,0.0579144,0.220047,0.232999,0.0694404,0.0408157,0.0694404,0.83125,0.0362423,0.223067,0.174273,0.0001,1e-05
21,120.047,0.0519152,0.223358,0.209991,0.0651939,0.0393175,0.0651939,0.75575,0.0453774,0.219133,0.212924,0.0001,1e-05
22,126.016,0.0561974,0.219814,0.213627,0.166362,0.0746656,0.166362,0.833875,0.0410292,0.22352,0.158278,0.0001,1e-05
23,131.851,0.0471074,0.22145,0.180552,0.118113,0.0467171,0.118113,0.786,0.0474499,0.225353,0.173091,0.0001,1e-05
24,137.819,0.0800176,0.217185,0.257245,0.0812624,0.0464946,0.0812624,0.804875,0.0508828,0.213033,0.194557,0.0001,1e-05
25,143.416,0.0604618,0.207111,0.211147,0.0975917,0.0512227,0.0975917,0.8215,0.0464504,0.19916,0.191284,0.0001,1e-05
26,149.15,0.0529814,0.211996,0.200352,0.0866429,0.0565641,0.0866429,0.8175,0.0494919,0.210341,0.191622,0.0001,1e-05
27,154.894,0.0735217,0.21839,0.220012,0.103582,0.0685728,0.103582,0.830125,0.0438542,0.212269,0.188131,0.0001,1e-05
28,160.529,0.0455114,0.213642,0.168747,0.0971559,0.0665438,0.0971559,0.809125,0.0365105,0.216174,0.172578,0.0001,1e-05
29,166.366,0.0450939,0.208254,0.168018,0.128331,0.0817255,0.128331,0.871875,0.0336099,0.21368,0.134915,0.0001,1e-05
30,172.094,0.0470625,0.212242,0.174701,0.103809,0.0691884,0.103809,0.8765,0.03739,0.202124,0.15515,0.0001,1e-05
31,177.981,0.0600556,0.210316,0.200265,0.0930641,0.057052,0.0930641,0.79,0.0528007,0.205091,0.234177,0.0001,1e-05
32,183.812,0.0469845,0.205914,0.180288,0.120268,0.0776888,0.120268,0.884125,0.0346459,0.209629,0.145035,0.0001,1e-05
33,189.737,0.0520747,0.206116,0.194262,0.109029,0.0673538,0.109029,0.883875,0.0352853,0.205048,0.143311,0.0001,1e-05
34,195.479,0.0446594,0.200896,0.169097,0.131629,0.0705911,0.131629,0.850875,0.0399117,0.198735,0.172536,0.0001,1e-05
35,201.14,0.0428039,0.202311,0.169778,0.0916054,0.0533061,0.0916054,0.80475,0.0481525,0.196495,0.204073,0.0001,1e-05
36,206.885,0.0528941,0.205122,0.193719,0.142706,0.0834099,0.142706,0.85875,0.0480099,0.20082,0.183845,0.0001,1e-05
37,212.692,0.0557332,0.201723,0.196418,0.127302,0.0951681,0.127302,0.866,0.0375977,0.200787,0.164684,0.0001,1e-05
38,218.439,0.0466599,0.194828,0.18376,0.186441,0.129486,0.186441,0.86375,0.0375569,0.202541,0.172314,0.0001,1e-05
39,224.154,0.0535901,0.193665,0.201005,0.171301,0.107706,0.171301,0.8725,0.0435552,0.191319,0.167909,0.0001,1e-05
40,230.253,0.0480671,0.184111,0.177936,0.1687,0.12622,0.1687,0.871375,0.0413825,0.177118,0.169085,0.0001,1e-05
