epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,6.27134,0.866737,1.33991,1.00219,0.0450323,0.0184614,0.0450323,0.182,0.149293,0.550151,0.523547,0.0001,1e-05
2,12.0662,0.155962,0.436369,0.4934,0.0834896,0.0370641,0.0834896,0.372,0.0918467,0.343941,0.362846,0.0001,1e-05
3,17.8682,0.153312,0.31668,0.447797,0.0702454,0.0292768,0.0702454,0.304,0.114041,0.306582,0.452696,0.0001,1e-05
4,23.8069,0.091271,0.281801,0.329688,0.0963568,0.0521372,0.0963568,0.412,0.066466,0.278957,0.27346,0.0001,1e-05
5,29.9008,0.0887806,0.264898,0.325613,0.090943,0.0309788,0.090943,0.346,0.0866906,0.257735,0.372416,0.0001,1e-05
6,36.0323,0.0973439,0.251921,0.348337,0.0894505,0.0334013,0.0894505,0.326,0.117302,0.244707,0.45252,0.0001,1e-05
7,42.0531,0.077012,0.240476,0.287876,0.078523,0.0359798,0.078523,0.414,0.064963,0.226312,0.269521,0.0001,1e-05
8,48.0727,0.078359,0.210865,0.293778,0.115463,0.0637749,0.115463,0.39,0.084406,0.1985,0.360741,0.0001,1e-05
9,53.945,0.0723473,0.198515,0.272534,0.138951,0.0791177,0.138951,0.418,0.0587521,0.182435,0.230916,0.0001,1e-05
10,59.9046,0.0715186,0.199437,0.270943,0.119619,0.0867906,0.119619,0.53975,0.0510647,0.178231,0.216924,0.0001,1e-05
11,66.055,0.0672337,0.197192,0.264023,0.147367,0.0881061,0.147367,0.599875,0.0682617,0.184305,0.302042,0.0001,1e-05
12,71.9638,0.0674544,0.195365,0.255556,0.170811,0.103345,0.170811,0.750375,0.0664159,0.169923,0.255028,0.0001,1e-05
13,78.1693,0.0706541,0.192394,0.258219,0.25129,0.148656,0.25129,0.714,0.072096,0.168503,0.276611,0.0001,1e-05
14,84.1564,0.0693576,0.1833,0.297969,0.299969,0.153182,0.299969,0.712875,0.0599839,0.1508,0.252351,0.0001,1e-05
15,90.0962,0.0693328,0.181113,0.245995,0.206133,0.121662,0.206133,0.747625,0.0604337,0.17167,0.260019,0.0001,1e-05
16,95.8762,0.0625648,0.180868,0.245332,0.365646,0.216708,0.365646,0.78825,0.0498632,0.152945,0.239185,0.0001,1e-05
17,101.945,0.0586308,0.177452,0.220765,0.305021,0.184916,0.305021,0.839125,0.0473295,0.151973,0.201335,0.0001,1e-05
18,107.981,0.069918,0.163192,0.26425,0.326027,0.169382,0.326027,0.752,0.0695962,0.13825,0.319198,0.0001,1e-05
19,114.179,0.0781546,0.163168,0.283931,0.398886,0.245681,0.398886,0.825,0.0531709,0.153097,0.218134,0.0001,1e-05
20,120.096,0.0600435,0.163927,0.219581,0.322048,0.210617,0.322048,0.810375,0.0487853,0.151176,0.206877,0.0001,1e-05
21,126.209,0.0556408,0.166855,0.20935,0.238991,0.152401,0.238991,0.80925,0.0538267,0.173125,0.224144,0.0001,1e-05
