epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,5.89578,0.875317,1.53589,1.0239,0.0382075,0.0185064,0.0382075,0.266,0.175117,0.615287,0.572689,0.0001,1e-05
2,11.0974,0.161084,0.444232,0.555807,0.0229964,0.0112991,0.0229964,0.296,0.126247,0.334218,0.494692,0.0001,1e-05
3,16.5992,0.132129,0.337297,0.493588,0.00501373,0.00261479,0.00501373,0.296,0.114464,0.346491,0.535492,0.0001,1e-05
4,22.1771,0.109685,0.3156,0.362097,0.0185508,0.00789777,0.0185508,0.37,0.0763801,0.292849,0.299629,0.0001,1e-05
5,27.8235,0.0918425,0.281328,0.315707,0.0382429,0.0137804,0.0382429,0.32,0.112047,0.273891,0.387563,0.0001,1e-05
6,33.5063,0.076312,0.272445,0.266796,0.0363595,0.00975027,0.0363595,0.364,0.0661066,0.266688,0.251152,0.0001,1e-05
7,39.1601,0.079272,0.263108,0.294236,0.0426029,0.0199257,0.0426029,0.392,0.0512444,0.255518,0.209103,0.0001,1e-05
8,44.706,0.0772209,0.249603,0.260894,0.0107484,0.00427694,0.0107484,0.32,0.102213,0.244804,0.34328,0.0001,1e-05
9,50.221,0.100723,0.243588,0.335656,0.0346858,0.0224566,0.0346858,0.434,0.0676821,0.241197,0.241717,0.0001,1e-05
10,55.7365,0.0675309,0.238499,0.240462,0.0777099,0.0528626,0.0777099,0.551,0.0466955,0.236919,0.206212,0.0001,1e-05
11,61.3689,0.0599264,0.240651,0.214555,0.0672923,0.0438236,0.0672923,0.760625,0.0504441,0.239878,0.217269,0.0001,1e-05
12,66.7196,0.0527691,0.23834,0.208102,0.0672515,0.0431576,0.0672515,0.769125,0.0507307,0.239086,0.215216,0.0001,1e-05
13,72.2624,0.0690417,0.231252,0.225535,0.0821175,0.0451786,0.0821175,0.84,0.0492667,0.233793,0.19488,0.0001,1e-05
14,77.731,0.0535325,0.227601,0.21139,0.115278,0.0645867,0.115278,0.764875,0.0626329,0.222927,0.258677,0.0001,1e-05
15,83.2917,0.0584339,0.219758,0.221797,0.110678,0.0665538,0.110678,0.840875,0.0400604,0.216585,0.168421,0.0001,1e-05
16,88.767,0.056352,0.21485,0.210551,0.146678,0.095138,0.146678,0.823,0.0480826,0.216425,0.197521,0.0001,1e-05
17,94.4073,0.0506387,0.214803,0.194766,0.137706,0.086709,0.137706,0.86475,0.0455277,0.214426,0.178828,0.0001,1e-05
18,100.139,0.0476269,0.215884,0.180926,0.17077,0.107458,0.17077,0.84625,0.0409261,0.213566,0.171341,0.0001,1e-05
19,105.896,0.0509913,0.210782,0.20018,0.154631,0.103254,0.154631,0.82675,0.0411324,0.212945,0.180536,0.0001,1e-05
20,111.438,0.0582329,0.206072,0.226986,0.213824,0.13488,0.213824,0.8145,0.0469379,0.20433,0.20277,0.0001,1e-05
