epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,4.26745,2.00869,1.77984,1.57319,0.00887503,0.00349498,0.00887503,0.178,0.3418,1.36027,0.985973,0.0001,1e-05
2,8.21079,0.242662,1.07549,0.820162,0.0235238,0.0089062,0.0235238,0.282,0.163647,0.779731,0.584314,0.0001,1e-05
3,12.0404,0.212296,0.615398,0.643558,0.0185118,0.00682306,0.0185118,0.266,0.213026,0.455518,0.672939,0.0001,1e-05
4,16.1671,0.244683,0.408042,0.700269,0.0154423,0.007041,0.0154423,0.308,0.146274,0.364258,0.494409,0.0001,1e-05
5,20.2183,0.196857,0.351656,0.596794,0.0161521,0.00711248,0.0161521,0.316,0.123227,0.331409,0.455,0.0001,1e-05
6,24.295,0.130485,0.318798,0.454496,0.0131109,0.00689517,0.0131109,0.326,0.132236,0.309851,0.443946,0.0001,1e-05
7,28.2975,0.131284,0.30201,0.46061,0.0105914,0.00655154,0.0105914,0.36,0.0987253,0.29765,0.376893,0.0001,1e-05
8,32.202,0.115718,0.28275,0.409263,0.00888656,0.00589331,0.00888656,0.372,0.104996,0.287806,0.37557,0.0001,1e-05
9,36.2728,0.0937396,0.277371,0.358874,0.00819295,0.00480193,0.00819295,0.364,0.112175,0.281241,0.482215,0.0001,1e-05
10,40.1768,0.14912,0.270979,0.431877,0.0111638,0.00649312,0.0111638,0.376,0.0954217,0.27359,0.388351,0.0001,1e-05
11,44.3709,0.0882833,0.262895,0.32824,0.0142984,0.00761061,0.0142984,0.368,0.0885835,0.262297,0.321327,0.0001,1e-05
12,48.1808,0.0812488,0.258341,0.303132,0.0133655,0.00788982,0.0133655,0.398,0.0762572,0.2641,0.298129,0.0001,1e-05
13,52.181,0.0708341,0.252236,0.278405,0.011462,0.00688473,0.011462,0.378,0.0819959,0.258245,0.297302,0.0001,1e-05
14,56.1681,0.0886818,0.255406,0.301939,0.0144103,0.0074878,0.0144103,0.384,0.0747348,0.257692,0.292889,0.0001,1e-05
15,60.107,0.0773342,0.248816,0.295059,0.0372995,0.0191142,0.0372995,0.408,0.0737762,0.259264,0.286453,0.0001,1e-05
16,64.1438,0.072941,0.250421,0.274311,0.0521233,0.0191369,0.0521233,0.384,0.0675265,0.263931,0.284091,0.0001,1e-05
17,68.22,0.0629018,0.252613,0.245075,0.0536513,0.0257218,0.0536513,0.354,0.0848265,0.258076,0.316128,0.0001,1e-05
18,72.3728,0.07911,0.248865,0.280922,0.0678388,0.0318444,0.0678388,0.39,0.0610166,0.255919,0.251524,0.0001,1e-05
19,76.4698,0.117331,0.247517,0.256993,0.0766741,0.043033,0.0766741,0.416,0.0539647,0.253283,0.211154,0.0001,1e-05
20,80.3642,0.057054,0.245169,0.225648,0.0546439,0.0366824,0.0546439,0.394,0.0670695,0.25151,0.232595,0.0001,1e-05
21,84.5328,0.061193,0.239052,0.221329,0.050952,0.0318078,0.050952,0.406,0.0596232,0.253269,0.257309,0.0001,1e-05
22,88.5932,0.0661121,0.248739,0.228909,0.056881,0.0373988,0.056881,0.394,0.0627735,0.259192,0.240586,0.0001,1e-05
23,92.7406,0.0564072,0.257775,0.228246,0.0440068,0.0177324,0.0440068,0.45125,0.0496124,0.257581,0.213722,0.0001,1e-05
24,96.884,0.0565815,0.2427,0.201434,0.0402213,0.0146999,0.0402213,0.56375,0.0774126,0.25654,0.303216,0.0001,1e-05
25,101.051,0.0643682,0.245954,0.256858,0.113545,0.0461791,0.113545,0.783125,0.0546011,0.252055,0.206948,0.0001,1e-05
26,104.993,0.0696875,0.239531,0.24124,0.11459,0.0560378,0.11459,0.707875,0.0486415,0.242584,0.201142,0.0001,1e-05
27,109.135,0.0585732,0.227098,0.21535,0.067707,0.0383926,0.067707,0.543375,0.052544,0.234258,0.201742,0.0001,1e-05
28,113.158,0.0608304,0.230186,0.207856,0.0709826,0.046539,0.0709826,0.492375,0.0674362,0.233605,0.247329,0.0001,1e-05
29,117.031,0.0587648,0.229558,0.230177,0.0698227,0.0408952,0.0698227,0.56,0.0589121,0.234304,0.217713,0.0001,1e-05
30,121.092,0.0534747,0.228486,0.209986,0.0609639,0.0367221,0.0609639,0.674875,0.0521141,0.229073,0.202172,0.0001,1e-05
31,125.11,0.0569155,0.229061,0.205359,0.0648199,0.0401367,0.0648199,0.7605,0.0608448,0.227596,0.225996,0.0001,1e-05
32,129.228,0.0554697,0.229784,0.226772,0.0644017,0.0437801,0.0644017,0.735,0.0685467,0.227198,0.271166,0.0001,1e-05
33,133.215,0.0648401,0.227923,0.258162,0.0719495,0.0489023,0.0719495,0.835625,0.0524565,0.222874,0.19953,0.0001,1e-05
34,137.359,0.0588292,0.21858,0.224775,0.0821346,0.0561126,0.0821346,0.822125,0.0463895,0.222173,0.197242,0.0001,1e-05
35,141.286,0.051261,0.222367,0.195715,0.0994986,0.0674133,0.0994986,0.793125,0.0504734,0.216198,0.219579,0.0001,1e-05
36,145.334,0.0603636,0.218472,0.207559,0.123904,0.0845333,0.123904,0.830625,0.0457905,0.213701,0.195017,0.0001,1e-05
37,149.389,0.0431494,0.212038,0.179339,0.117219,0.079671,0.117219,0.841125,0.042546,0.206981,0.186185,0.0001,1e-05
38,153.435,0.0464635,0.210079,0.189034,0.105871,0.0638508,0.105871,0.812,0.0612128,0.21116,0.22161,0.0001,1e-05
39,157.52,0.047751,0.208496,0.195672,0.0868517,0.058518,0.0868517,0.85025,0.0499181,0.20463,0.188931,0.0001,1e-05
40,161.719,0.0531222,0.21176,0.205363,0.0931742,0.0602365,0.0931742,0.83975,0.0497168,0.206882,0.204097,0.0001,1e-05
41,165.809,0.0492708,0.208108,0.189962,0.0898694,0.0565065,0.0898694,0.839125,0.050595,0.207501,0.20294,0.0001,1e-05
42,169.863,0.055591,0.202308,0.201901,0.0895754,0.0552403,0.0895754,0.75975,0.0756184,0.203833,0.269934,0.0001,1e-05
43,173.778,0.0893779,0.203274,0.278489,0.0869572,0.0559903,0.0869572,0.82175,0.0530293,0.200521,0.222811,0.0001,1e-05
44,177.992,0.053869,0.199053,0.195693,0.0895397,0.0614891,0.0895397,0.827125,0.0582269,0.200038,0.209576,0.0001,1e-05
45,182.025,0.0514642,0.200805,0.203444,0.100209,0.0714009,0.100209,0.790875,0.0508304,0.196286,0.230709,0.0001,1e-05
46,186.284,0.0593465,0.196071,0.226128,0.109056,0.0713627,0.109056,0.8335,0.0456257,0.20114,0.198352,0.0001,1e-05
47,190.204,0.0519064,0.190642,0.201541,0.111662,0.0703393,0.111662,0.84,0.0556557,0.201718,0.206348,0.0001,1e-05
48,194.336,0.0456361,0.193928,0.191611,0.0977857,0.0708735,0.0977857,0.834625,0.0495566,0.206255,0.201715,0.0001,1e-05
