epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.45719,2.02647,1.77673,1.5864,0.0103383,0.00410754,0.0103383,0.196,0.306729,1.37322,0.964723,0.0001,1e-05
2,6.36325,0.271341,1.18422,0.824834,0.00541809,0.00182971,0.00541809,0.148,0.203758,0.977804,0.733355,0.0001,1e-05
3,9.23292,0.168499,0.782238,0.570867,0.0371793,0.0204657,0.0371793,0.262,0.180579,0.483018,0.60708,0.0001,1e-05
4,12.31,0.22955,0.429349,0.708328,0.0376522,0.0209032,0.0376522,0.31,0.1759,0.374708,0.607994,0.0001,1e-05
5,15.5277,0.201871,0.372254,0.560474,0.0362656,0.009449,0.0362656,0.232,0.154338,0.349479,0.498583,0.0001,1e-05
6,18.5414,0.150891,0.349423,0.491562,0.0442994,0.0159578,0.0442994,0.282,0.118646,0.33626,0.414444,0.0001,1e-05
7,21.6843,0.130507,0.325823,0.431212,0.0585605,0.0342514,0.0585605,0.33,0.107734,0.300934,0.409819,0.0001,1e-05
8,24.642,0.113928,0.289396,0.374719,0.0558522,0.0305863,0.0558522,0.346,0.0965821,0.285472,0.356592,0.0001,1e-05
9,27.6298,0.0968022,0.284406,0.358335,0.0424185,0.0223068,0.0424185,0.322,0.106053,0.280303,0.415172,0.0001,1e-05
10,30.7023,0.120384,0.278664,0.377527,0.062632,0.0344114,0.062632,0.36,0.0937948,0.273049,0.35405,0.0001,1e-05
11,33.8128,0.0776479,0.274186,0.283791,0.0658342,0.0375984,0.0658342,0.386,0.0767534,0.264954,0.294247,0.0001,1e-05
12,36.8226,0.0782122,0.26607,0.28389,0.0873362,0.0556785,0.0873362,0.39,0.0698293,0.258266,0.293766,0.0001,1e-05
13,39.823,0.0786169,0.252441,0.286816,0.0581687,0.039142,0.0581687,0.4,0.0670973,0.256729,0.25675,0.0001,1e-05
14,42.7518,0.0648505,0.259578,0.279252,0.0595112,0.0255538,0.0595112,0.328,0.103697,0.263913,0.366068,0.0001,1e-05
15,45.8667,0.0813185,0.256426,0.341981,0.0735453,0.0374174,0.0735453,0.386,0.0663216,0.250966,0.282174,0.0001,1e-05
16,48.8614,0.0671922,0.243175,0.277481,0.0572715,0.0283886,0.0572715,0.396,0.0672901,0.245958,0.272024,0.0001,1e-05
17,52.0241,0.0741968,0.245167,0.29229,0.0421596,0.021989,0.0421596,0.384,0.0798702,0.239495,0.305871,0.0001,1e-05
18,55.0752,0.0767405,0.24126,0.265262,0.0693062,0.0365099,0.0693062,0.362,0.0934899,0.24143,0.349977,0.0001,1e-05
19,58.2547,0.123155,0.238904,0.360651,0.0588171,0.0295549,0.0588171,0.39,0.0757989,0.240467,0.269382,0.0001,1e-05
20,61.3522,0.0765867,0.237622,0.291665,0.038532,0.0211199,0.038532,0.372,0.0749981,0.240467,0.340637,0.0001,1e-05
21,64.412,0.0600843,0.242011,0.229729,0.0580663,0.0273734,0.0580663,0.432,0.057552,0.245794,0.225585,0.0001,1e-05
22,67.5059,0.064109,0.242564,0.231289,0.0473148,0.0213773,0.0473148,0.406,0.06537,0.239578,0.245783,0.0001,1e-05
23,70.711,0.0645697,0.242203,0.256986,0.0457131,0.0147648,0.0457131,0.37225,0.077242,0.239494,0.311328,0.0001,1e-05
24,73.8665,0.0732022,0.22716,0.275169,0.0437895,0.0187714,0.0437895,0.436125,0.0783371,0.240191,0.280731,0.0001,1e-05
25,77.043,0.0756923,0.238524,0.298063,0.0761359,0.0266997,0.0761359,0.469375,0.0616585,0.243502,0.236399,0.0001,1e-05
26,80.0262,0.0833939,0.246187,0.335871,0.0481573,0.0267743,0.0481573,0.57925,0.0541906,0.245239,0.219648,0.0001,1e-05
27,83.1547,0.0558223,0.235402,0.237266,0.0298516,0.0182526,0.0298516,0.61675,0.0561321,0.242502,0.258812,0.0001,1e-05
28,86.2863,0.0609243,0.242365,0.272781,0.0329772,0.018411,0.0329772,0.65,0.0515614,0.241099,0.218596,0.0001,1e-05
29,89.2502,0.0621899,0.240706,0.22568,0.057168,0.02254,0.057168,0.670375,0.0613827,0.237815,0.225284,0.0001,1e-05
30,92.3884,0.0559292,0.238534,0.219279,0.0729756,0.0303253,0.0729756,0.62825,0.0709599,0.237986,0.274267,0.0001,1e-05
31,95.5017,0.052049,0.242003,0.206128,0.0751114,0.0436853,0.0751114,0.68525,0.0464497,0.236622,0.185587,0.0001,1e-05
32,98.5551,0.05111,0.235752,0.207296,0.0718444,0.0355911,0.0718444,0.619625,0.0480911,0.236231,0.201004,0.0001,1e-05
33,101.702,0.0519188,0.234422,0.193235,0.0735701,0.032017,0.0735701,0.59975,0.0570052,0.233757,0.211465,0.0001,1e-05
34,104.726,0.0711551,0.228482,0.272851,0.0674525,0.0242186,0.0674525,0.532,0.0770313,0.229935,0.349671,0.0001,1e-05
35,107.719,0.0756754,0.233765,0.315998,0.0756228,0.0342093,0.0756228,0.627875,0.0586811,0.231017,0.251574,0.0001,1e-05
36,110.877,0.054601,0.23159,0.206156,0.0936758,0.0579379,0.0936758,0.730625,0.0462752,0.221475,0.188348,0.0001,1e-05
37,113.878,0.0471618,0.220903,0.173718,0.102341,0.0567982,0.102341,0.73875,0.0596794,0.21782,0.243185,0.0001,1e-05
38,117.077,0.0524247,0.221208,0.219681,0.104236,0.0709939,0.104236,0.750375,0.0563953,0.20974,0.229059,0.0001,1e-05
39,120.116,0.0600335,0.207376,0.241953,0.10986,0.0721716,0.10986,0.7945,0.0576181,0.209043,0.229781,0.0001,1e-05
40,123.303,0.0549007,0.202437,0.214478,0.108885,0.0734372,0.108885,0.72725,0.0527269,0.199822,0.204497,0.0001,1e-05
41,126.419,0.0549427,0.203749,0.219999,0.137957,0.0771046,0.137957,0.684125,0.0552137,0.205947,0.278189,0.0001,1e-05
42,129.519,0.0547452,0.203462,0.214635,0.111671,0.0699256,0.111671,0.77925,0.0473471,0.211246,0.229311,0.0001,1e-05
43,132.542,0.0552029,0.207038,0.202416,0.0871441,0.0520926,0.0871441,0.816625,0.0487224,0.212706,0.211365,0.0001,1e-05
44,158.177,0.0562614,0.206855,0.218694,0.0829138,0.0543442,0.0829138,0.83125,0.0430587,0.206446,0.181417,0.0001,1e-05
45,161.302,0.046041,0.20906,0.203814,0.0926673,0.0561167,0.0926673,0.741,0.0509156,0.217484,0.224719,0.0001,1e-05
46,164.617,0.0590745,0.208677,0.23713,0.0941441,0.0575285,0.0941441,0.7865,0.0474262,0.211962,0.201834,0.0001,1e-05
47,167.553,0.0522716,0.21119,0.20792,0.0993711,0.0516656,0.0993711,0.76475,0.0583936,0.21089,0.244782,0.0001,1e-05
48,170.531,0.0563543,0.203334,0.246973,0.108945,0.0674355,0.108945,0.821125,0.0437473,0.206167,0.185243,0.0001,1e-05
49,173.735,0.0478099,0.197644,0.190446,0.128309,0.0798257,0.128309,0.7805,0.0480868,0.19952,0.206781,0.0001,1e-05
50,176.83,0.0570518,0.197051,0.220214,0.152417,0.0937662,0.152417,0.764375,0.0584883,0.202793,0.250728,0.0001,1e-05
51,179.968,0.0517755,0.197369,0.195698,0.175389,0.107129,0.175389,0.866375,0.0462553,0.210762,0.168573,0.0001,1e-05
52,183.049,0.0571622,0.194597,0.242125,0.176742,0.10264,0.176742,0.80625,0.0446053,0.204403,0.200303,0.0001,1e-05
