epoch,time,train/loss_bbox,train/loss_ce,train/loss_contrastive,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,5.2705,1.80005,2.02643,0.0152963,1.47015,0.026015,0.0154658,0.026015,0.108,0.281701,2.30021,0.855389,0.0001,1e-05
2,9.71747,0.26889,1.91454,0.014462,0.704514,0.0267634,0.0133474,0.0267634,0.15,0.257758,1.25453,0.654446,0.0001,1e-05
3,13.6122,0.18665,0.948345,0.014535,0.538915,0.0207208,0.00965486,0.0207208,0.216,0.259625,0.532063,0.753912,0.0001,1e-05
4,18.2623,0.192002,0.500882,0.0126769,0.604445,0.0436465,0.0168503,0.0436465,0.18,0.197844,0.422094,0.722725,0.0001,1e-05
5,22.8228,0.154352,0.406665,0.0123132,0.532995,0.0494008,0.0228495,0.0494008,0.27,0.135719,0.357576,0.469576,0.0001,1e-05
6,27.4338,0.144225,0.348295,0.0120803,0.490841,0.0708408,0.0467023,0.0708408,0.346,0.13328,0.324206,0.419292,0.0001,1e-05
7,46.8372,0.130005,0.320485,0.0106804,0.437984,0.083067,0.0512043,0.083067,0.37,0.094969,0.312649,0.342971,0.0001,1e-05
8,51.294,0.11595,0.302112,0.00936684,0.389101,0.0712714,0.034619,0.0712714,0.372,0.0847606,0.298166,0.346814,0.0001,1e-05
9,55.4214,0.0992221,0.284497,0.00925383,0.367275,0.052865,0.0295411,0.052865,0.386,0.0820176,0.288395,0.323402,0.0001,1e-05
10,60.0602,0.101216,0.280059,0.00929757,0.371153,0.0569245,0.027614,0.0569245,0.372,0.0830936,0.28464,0.287446,0.0001,1e-05
11,64.8806,0.0843709,0.272365,0.00835631,0.317767,0.0504681,0.0215276,0.0504681,0.38,0.0799274,0.280344,0.307085,0.0001,1e-05
12,69.4673,0.0667945,0.278407,0.00667639,0.26573,0.0619339,0.0249351,0.0619339,0.364,0.0914355,0.276939,0.332629,0.0001,1e-05
13,74.201,0.0812055,0.267341,0.00659972,0.288618,0.0649902,0.036517,0.0649902,0.378,0.0724221,0.274978,0.275186,0.0001,1e-05
14,78.1843,0.0707259,0.271842,0.00669629,0.263788,0.0781012,0.0380109,0.0781012,0.3685,0.0986922,0.26931,0.335937,0.0001,1e-05
15,105.061,0.076456,0.265364,0.0063174,0.260716,0.0966876,0.0460884,0.0966876,0.399125,0.0695226,0.265522,0.243372,0.0001,1e-05
16,109.895,0.0688236,0.261396,0.00610381,0.250329,0.0783326,0.0372289,0.0783326,0.354,0.0708903,0.264091,0.257109,0.0001,1e-05
17,114.171,0.0650511,0.262391,0.00588142,0.244514,0.0851681,0.0404399,0.0851681,0.389625,0.0680639,0.260877,0.240754,0.0001,1e-05
18,118.47,0.0615566,0.258169,0.00520673,0.228936,0.0524641,0.0361423,0.0524641,0.402,0.0563443,0.257242,0.218268,0.0001,1e-05
19,123.131,0.0580435,0.254509,0.00487531,0.216416,0.0452362,0.0278377,0.0452362,0.374,0.0654643,0.250563,0.252672,0.0001,1e-05
20,127.983,0.0661268,0.250745,0.00477974,0.240928,0.0579916,0.0391487,0.0579916,0.388,0.0581648,0.246323,0.239165,0.0001,1e-05
21,132.627,0.0683754,0.2406,0.00423264,0.26523,0.0447411,0.0337708,0.0447411,0.409875,0.0632648,0.244412,0.264603,0.0001,1e-05
22,137.414,0.0955878,0.247042,0.00313212,0.301717,0.0499833,0.0349161,0.0499833,0.45525,0.0570551,0.241816,0.227757,0.0001,1e-05
23,141.465,0.0663541,0.240892,0.00350769,0.222641,0.0622018,0.0401298,0.0622018,0.623,0.057072,0.239832,0.234079,0.0001,1e-05
24,165.067,0.0737649,0.24155,0.00331269,0.26637,0.0710484,0.0430288,0.0710484,0.662125,0.0802229,0.241817,0.290823,0.0001,1e-05
25,170.086,0.0643228,0.242287,0.00381271,0.216359,0.0604894,0.0351797,0.0604894,0.76075,0.0538983,0.240776,0.209633,0.0001,1e-05
26,174.855,0.0508831,0.236762,0.00247079,0.209147,0.0763561,0.0372871,0.0763561,0.73875,0.0609554,0.23969,0.258488,0.0001,1e-05
27,179.562,0.0527861,0.233637,0.00235958,0.215306,0.0805343,0.0445292,0.0805343,0.7135,0.0574502,0.239978,0.246924,0.0001,1e-05
28,184.003,0.0505351,0.236284,0.00257555,0.197917,0.099634,0.0552254,0.099634,0.744,0.0553845,0.236747,0.215556,0.0001,1e-05
29,188.5,0.0509149,0.229424,0.00248419,0.217378,0.0808609,0.0420969,0.0808609,0.72725,0.0531401,0.238117,0.228047,0.0001,1e-05
30,193.197,0.0926863,0.236869,0.00243552,0.256855,0.0782443,0.0460103,0.0782443,0.725625,0.0513179,0.234827,0.239481,0.0001,1e-05
