epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,7.41428,0.80765,1.35605,1.09684,0.00728219,0.00215843,0.0248307,0.146667,0.258604,0.573461,0.839338,0.0001,1e-05
2,15.1863,0.29582,0.451274,0.833873,0.0057957,0.00158858,0.0144648,0.2,0.208546,0.392273,0.768238,0.0001,1e-05
3,21.8414,0.18435,0.359469,0.598234,0.00761308,0.00313664,0.0193492,0.293333,0.144857,0.346923,0.583071,0.0001,1e-05
4,30.6741,0.178553,0.348778,0.57543,0.0143164,0.00812486,1,0.0133333,0.131511,0.350875,0.493512,0.0001,1e-05
5,39.7565,0.125163,0.331244,0.454148,0.0156604,0.00345683,0.125,0.0266667,0.158823,0.316171,0.546402,0.0001,1e-05
6,47.4188,0.129322,0.307188,0.521277,0.0176085,0.0065645,0.0666667,0.04,0.148207,0.297131,0.577221,0.0001,1e-05
7,55.33,0.112641,0.298775,0.418613,0.0159123,0.00801587,0.0615385,0.0533333,0.100943,0.296803,0.419596,0.0001,1e-05
8,62.6575,0.0840513,0.290434,0.335131,0.0147804,0.00989054,0.125,0.0266667,0.15354,0.29012,0.557841,0.0001,1e-05
9,72.078,0.0923434,0.294267,0.370347,0.0239994,0.0113051,1,0.0266667,0.119211,0.290386,0.460583,0.0001,1e-05
10,80.7586,0.0983426,0.286572,0.3439,0.0180826,0.00717357,0.0769231,0.0533333,0.117985,0.281997,0.43287,0.0001,1e-05
11,88.399,0.0961779,0.280255,0.348384,0.0354881,0.011099,0.0914634,0.2,0.192329,0.259753,0.670132,0.0001,1e-05
12,95.1177,0.101556,0.263048,0.338488,0.0290191,0.0170923,0.138889,0.0666667,0.130663,0.25333,0.465764,0.0001,1e-05
13,104.34,0.0845668,0.26326,0.329375,0.0199443,0.0103806,0.0286976,0.173333,0.125118,0.26687,0.459782,0.0001,1e-05
14,111.76,0.0770594,0.276508,0.334165,0.0207959,0.00796142,0.0287958,0.146667,0.19418,0.275238,0.758414,0.0001,1e-05
15,118.814,0.0885208,0.269557,0.347204,0.0264011,0.0153891,0.0353635,0.24,0.0979001,0.273418,0.393922,0.0001,1e-05
16,125.562,0.0884079,0.267436,0.326769,0.0250119,0.0132304,0.0317164,0.226667,0.102041,0.270206,0.43636,0.0001,1e-05
17,132.361,0.0988271,0.271819,0.389138,0.0276097,0.0128912,0.0330275,0.24,0.158678,0.272912,0.556709,0.0001,1e-05
18,139.471,0.111671,0.275242,0.284875,0.0430107,0.0238198,0.0465839,0.2,0.121292,0.277742,0.394014,0.0001,1e-05
19,148.75,0.0844427,0.267445,0.305778,0.0448783,0.0208389,0.038961,0.16,0.0968762,0.275867,0.379196,0.0001,1e-05
20,155.94,0.0614957,0.260268,0.268195,0.0412614,0.0167315,0.0453258,0.213333,0.101549,0.268505,0.395826,0.0001,1e-05
21,162.972,0.0678215,0.267348,0.260543,0.0411198,0.0205929,0.0545455,0.2,0.099836,0.270845,0.403236,0.0001,1e-05
22,170.176,0.126291,0.271545,0.456428,0.0364671,0.0163022,0.137931,0.0533333,0.15333,0.267754,0.516906,0.0001,1e-05
23,176.861,0.0821784,0.257044,0.340376,0.0397461,0.0194712,0.0787037,0.226667,0.100438,0.272814,0.409893,0.0001,1e-05
