source,epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
_2d2_1d6_nm20_a10_b100,1,34.9896,0.259628,0.548371,0.000793913,0.000287918,0.690943,0.00873167,0.00406812,0.00901425,0.413333,0.104431,0.308068,0.378526,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,2,69.39,0.113983,0.274597,0.00133638,0.000410697,0.410369,0.0291217,0.0119982,0.0164628,0.466667,0.0977961,0.268531,0.353523,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,3,105.879,0.101679,0.255078,0.00176701,0.00050299,0.369893,0.0387179,0.0156744,0.140625,0.12,0.131147,0.239437,0.432953,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,4,140.931,0.0891584,0.24267,0.00221794,0.000606396,0.335764,0.0588827,0.024694,0.0884354,0.173333,0.121974,0.242827,0.469665,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,5,175.549,0.0895748,0.244362,0.00224105,0.000611568,0.334329,0.0664058,0.0274955,0.25,0.0933333,0.101953,0.244133,0.359831,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,6,210.074,0.103865,0.238928,0.00193856,0.00054447,0.344651,0.0762738,0.0331681,0.107143,0.2,0.0626572,0.23819,0.282157,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,7,245.251,0.08616,0.226666,0.00182655,0.000538155,0.329393,0.083467,0.0464285,0.134615,0.0933333,0.0853224,0.236994,0.357876,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,8,279.356,0.082539,0.225878,0.00162001,0.000453418,0.301619,0.0735156,0.0485569,0.0724638,0.266667,0.0667715,0.230816,0.256734,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,9,314.961,0.079432,0.223116,0.00143334,0.00041251,0.302227,0.100272,0.0538355,0.157407,0.226667,0.105176,0.226951,0.365756,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,10,349.14,0.0763662,0.233769,0.00129676,0.000387464,0.296663,0.143597,0.0545603,0.180328,0.293333,0.11921,0.231557,0.394496,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,11,386.008,0.0800914,0.229953,0.00114328,0.000356781,0.290427,0.0494015,0.0275707,0.0769231,0.186667,0.17532,0.25373,0.405784,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,12,418.258,0.0870475,0.222202,0.00114272,0.000349966,0.30717,0.125683,0.0653101,0.125,0.346667,0.0996515,0.178283,0.389346,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,13,452.151,0.0839049,0.200388,0.00125187,0.000360949,0.313799,0.184269,0.0993684,0.168,0.28,0.0866491,0.176753,0.329685,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,14,486.141,0.0748771,0.190095,0.00117465,0.000354694,0.288711,0.282901,0.118242,0.28972,0.413333,0.0975713,0.179604,0.375683,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,15,520.763,0.0808958,0.198893,0.00124212,0.000373638,0.307091,0.183061,0.0974492,0.306122,0.2,0.082354,0.198366,0.331929,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,16,553.917,0.0729209,0.204331,0.00127722,0.000392184,0.266417,0.194087,0.0931783,0.425926,0.306667,0.0827873,0.215723,0.339851,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,17,586.119,0.0744957,0.207384,0.0011368,0.000364414,0.29114,0.202359,0.0903732,0.351351,0.346667,0.094003,0.187455,0.381586,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,18,618.418,0.0789582,0.192928,0.00108577,0.000353381,0.294869,0.384688,0.169442,0.460526,0.466667,0.105595,0.164443,0.433116,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,19,653.168,0.084371,0.166101,0.00118459,0.000375833,0.322409,0.484905,0.298451,0.606557,0.493333,0.09346,0.143848,0.382171,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,20,686.467,0.0892457,0.161372,0.00101604,0.000331168,0.327966,0.680679,0.281761,0.704918,0.573333,0.114525,0.144602,0.443884,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,21,719.081,0.0958889,0.129658,0.00103762,0.000340992,0.358617,0.82308,0.441848,0.674699,0.746667,0.116115,0.072298,0.456962,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,22,753.328,0.110421,0.0941662,0.00100825,0.000331082,0.415388,0.879087,0.506278,0.820896,0.733333,0.110393,0.0585218,0.425989,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,23,787.702,0.109216,0.0814899,0.000914471,0.000317287,0.425898,0.871637,0.495664,0.903226,0.746667,0.101119,0.0574455,0.430259,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,24,819.621,0.101971,0.0613757,0.000910403,0.000314226,0.416783,0.904212,0.518388,0.95,0.76,0.103858,0.0446112,0.43545,0.0001,1e-05
