epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,33.472,0.281265,0.415249,0.683976,0.0300721,0.0115648,0.0489297,0.213333,0.120721,0.275753,0.478112,0.0001,1e-05
2,66.6684,0.117141,0.251333,0.432153,0.109281,0.0543994,0.314286,0.146667,0.102941,0.240578,0.407269,0.0001,1e-05
3,100.855,0.0910195,0.247661,0.358688,0.0705021,0.0359244,0.268293,0.146667,0.0755968,0.26157,0.291477,0.0001,1e-05
4,132.845,0.0909211,0.245074,0.343646,0.0369318,0.0211634,0.0643087,0.266667,0.101116,0.261399,0.509606,0.0001,1e-05
5,165.288,0.0849047,0.249159,0.326412,0.117155,0.0432488,0.307692,0.213333,0.114981,0.250899,0.394599,0.0001,1e-05
6,197.276,0.0889386,0.23935,0.331788,0.179341,0.0786712,0.394737,0.2,0.113161,0.234105,0.413573,0.0001,1e-05
7,230.6,0.0917579,0.22436,0.33797,0.168835,0.0687824,0.253731,0.226667,0.0857831,0.218205,0.348241,0.0001,1e-05
8,263.229,0.0869856,0.216109,0.32797,0.24922,0.106126,0.288136,0.226667,0.0849017,0.222244,0.327582,0.0001,1e-05
9,297.096,0.0834888,0.203726,0.312331,0.393614,0.207662,0.785714,0.293333,0.085997,0.19348,0.306563,0.0001,1e-05
10,331.325,0.0814169,0.203966,0.300455,0.315698,0.165376,0.434783,0.4,0.0838376,0.173275,0.335838,0.0001,1e-05
11,363.823,0.0850233,0.185886,0.323038,0.270832,0.158875,0.446809,0.28,0.072526,0.22868,0.285498,0.0001,1e-05
12,395.256,0.105529,0.179726,0.368854,0.33653,0.183135,0.6,0.36,0.0832645,0.190975,0.335591,0.0001,1e-05
13,427.591,0.0876691,0.176805,0.330778,0.344293,0.190752,0.563636,0.413333,0.105608,0.1427,0.446768,0.0001,1e-05
14,460.421,0.100932,0.152317,0.367327,0.572686,0.30882,0.547619,0.613333,0.102108,0.127559,0.386917,0.0001,1e-05
15,494.831,0.105591,0.120866,0.392727,0.766193,0.347015,0.682927,0.746667,0.104201,0.121647,0.4074,0.0001,1e-05
16,529.262,0.0983669,0.117935,0.36664,0.729381,0.298172,0.746479,0.706667,0.113969,0.128173,0.451721,0.0001,1e-05
17,562.192,0.0955829,0.114913,0.356689,0.841537,0.425547,0.717647,0.813333,0.0940337,0.109319,0.375853,0.0001,1e-05
18,596.397,0.101865,0.101669,0.381509,0.832672,0.400796,0.741176,0.84,0.105256,0.0974058,0.437227,0.0001,1e-05
19,629.185,0.105342,0.0900404,0.394743,0.922992,0.53037,0.925373,0.826667,0.103236,0.0549479,0.41525,0.0001,1e-05
20,663.426,0.10192,0.0782877,0.396506,0.898302,0.522558,0.820513,0.853333,0.100511,0.0652505,0.402023,0.0001,1e-05
21,695.561,0.107837,0.0649531,0.4231,0.899558,0.521679,0.863014,0.84,0.100823,0.0539781,0.422385,0.0001,1e-05
22,728.205,0.102563,0.0843825,0.395375,0.933304,0.544624,0.887324,0.84,0.101457,0.0556101,0.415413,0.0001,1e-05
23,763.028,0.106879,0.0611526,0.418855,0.926967,0.504634,0.925373,0.826667,0.09691,0.0504225,0.450778,0.0001,1e-05
24,795.768,0.108058,0.0597904,0.431908,0.913467,0.497987,0.953125,0.813333,0.102852,0.0447315,0.439438,0.0001,1e-05
25,826.647,0.10803,0.0585503,0.429756,0.899,0.534333,0.867647,0.786667,0.099124,0.0467296,0.413523,0.0001,1e-05
26,858.331,0.114606,0.0465522,0.432995,0.855266,0.368683,0.895522,0.8,0.124262,0.0626324,0.547575,0.0001,1e-05
27,890.507,0.100599,0.046299,0.414293,0.921506,0.535854,0.902778,0.866667,0.0994442,0.0499058,0.42649,0.0001,1e-05
28,923.521,0.100648,0.0386157,0.41069,0.896644,0.446903,0.914286,0.853333,0.107615,0.0337188,0.494174,0.0001,1e-05
29,956.817,0.102173,0.0420121,0.419882,0.943974,0.480804,0.927536,0.853333,0.115657,0.0282257,0.491382,0.0001,1e-05
30,989.652,0.105023,0.0392976,0.415122,0.924166,0.540438,0.913043,0.84,0.100773,0.0316097,0.413156,0.0001,1e-05
31,1021.97,0.0954849,0.0362832,0.407115,0.925266,0.517215,0.901408,0.853333,0.0968408,0.0385493,0.437666,0.0001,1e-05
32,1055.41,0.102455,0.0390855,0.420657,0.957516,0.500723,0.942857,0.88,0.103995,0.0297069,0.460791,0.0001,1e-05
33,1088.55,0.0994508,0.0412715,0.407549,0.928265,0.553127,0.915493,0.866667,0.0998971,0.0395006,0.408018,0.0001,1e-05
34,1122.05,0.0957357,0.0342677,0.412602,0.955255,0.5505,0.909091,0.933333,0.097327,0.026632,0.416746,0.0001,1e-05
35,1154.59,0.0979176,0.0328589,0.396011,0.939029,0.568517,0.926471,0.84,0.0965586,0.0259531,0.413402,0.0001,1e-05
36,1189.68,0.103109,0.0313324,0.414647,0.95135,0.585183,0.87013,0.893333,0.0893494,0.0323801,0.38801,0.0001,1e-05
37,1223.91,0.0959372,0.0300141,0.407815,0.936875,0.609006,0.916667,0.88,0.0948575,0.0269942,0.382117,0.0001,1e-05
38,1257.84,0.0972343,0.0274291,0.402709,0.961398,0.555841,0.884615,0.92,0.107409,0.0302626,0.421338,0.0001,1e-05
39,1290.75,0.0965297,0.0293151,0.389723,0.940027,0.530132,0.906667,0.906667,0.108136,0.025873,0.444035,0.0001,1e-05
40,1323.09,0.0997724,0.0310177,0.427924,0.930738,0.551153,0.943662,0.893333,0.0889868,0.0355284,0.398224,0.0001,1e-05
41,1355.02,0.089329,0.0325359,0.38356,0.96392,0.567132,0.922078,0.946667,0.106572,0.0224523,0.441658,0.0001,1e-05
42,1388.34,0.103473,0.0237629,0.430052,0.964664,0.616702,0.958333,0.92,0.0924814,0.0194092,0.371919,0.0001,1e-05
43,1422.68,0.0956044,0.0254728,0.403727,0.940936,0.5885,0.929577,0.88,0.0857492,0.0194691,0.372684,0.0001,1e-05
44,1455.36,0.0981165,0.0279217,0.403742,0.933285,0.553393,0.894737,0.906667,0.106361,0.019727,0.43256,0.0001,1e-05
45,1488.07,0.102505,0.025948,0.418593,0.935809,0.529431,0.92,0.92,0.102131,0.0368677,0.440387,0.0001,1e-05
46,1520.81,0.0919428,0.0275149,0.382013,0.926945,0.600869,0.939394,0.826667,0.0915964,0.0215199,0.389083,0.0001,1e-05
47,1552.66,0.0971028,0.0297126,0.405433,0.939203,0.531106,0.917808,0.893333,0.104857,0.0297402,0.450985,0.0001,1e-05
48,1585.28,0.0973039,0.0269309,0.41556,0.891085,0.406755,0.901408,0.853333,0.0914587,0.0348637,0.504796,0.0001,1e-05
49,1618.85,0.0969683,0.0287734,0.411121,0.931537,0.528158,0.929577,0.88,0.0971339,0.0279509,0.443397,0.0001,1e-05
50,1651.03,0.102057,0.0275578,0.425844,0.675047,0.234632,0.825397,0.693333,0.139676,0.0549844,0.686534,0.0001,1e-05
51,1682.68,0.0963924,0.033396,0.422046,0.946618,0.538048,0.942857,0.88,0.0898142,0.0375386,0.412744,0.0001,1e-05
52,1715.59,0.0938167,0.0260218,0.407139,0.593691,0.236802,0.764706,0.693333,0.120099,0.094011,0.609745,0.0001,1e-05
53,1749.05,0.0967552,0.0232074,0.403661,0.909072,0.484348,0.90411,0.88,0.104292,0.0302294,0.474181,0.0001,1e-05
54,1781.86,0.0986657,0.0235893,0.417634,0.931672,0.532114,0.970588,0.88,0.100883,0.0301831,0.443694,0.0001,1e-05
55,1814.77,0.091186,0.0217163,0.394457,0.947855,0.46958,0.955224,0.853333,0.0989234,0.0322803,0.474484,0.0001,1e-05
56,1848.15,0.0954008,0.0250247,0.41484,0.914691,0.518535,0.96875,0.826667,0.101157,0.0387721,0.423928,0.0001,1e-05
57,1880.94,0.106372,0.0201149,0.43078,0.961909,0.546691,0.945205,0.92,0.105551,0.0138997,0.436001,0.0001,1e-05
58,1913.77,0.100661,0.0247307,0.419828,0.927959,0.447562,0.92,0.92,0.106812,0.0204023,0.502271,0.0001,1e-05
59,1947.34,0.0975386,0.0242004,0.405147,0.934113,0.509788,0.92,0.92,0.0922719,0.0262107,0.437564,0.0001,1e-05
60,1979.42,0.095866,0.0272214,0.413276,0.947111,0.537115,0.955882,0.866667,0.100634,0.0252485,0.444,0.0001,1e-05
61,2011.17,0.0972646,0.0230998,0.412637,0.906903,0.450666,0.929577,0.88,0.11031,0.0360064,0.531626,0.0001,1e-05
62,2043.89,0.100484,0.0213456,0.426245,0.899849,0.405751,0.894737,0.906667,0.105275,0.0253737,0.524654,0.0001,1e-05
