epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,34.0565,0.22151,0.568383,0.00116826,0.000274505,0.58354,0.00474619,0.00260068,0.00761649,0.453333,0.122507,0.307188,0.407911,0.0001,1e-05
2,68.0936,0.116389,0.281315,0.00199666,0.000401925,0.411275,0.012832,0.00694159,0.0348837,0.12,0.131495,0.265298,0.449249,0.0001,1e-05
3,103.297,0.0955564,0.262656,0.00254181,0.0004802,0.354034,0.129958,0.0709942,0.184211,0.28,0.0841683,0.256086,0.332203,0.0001,1e-05
4,137.485,0.0912638,0.258505,0.00264359,0.00051502,0.339913,0.0490571,0.0229114,0.126761,0.12,0.0871711,0.247344,0.37823,0.0001,1e-05
5,169.835,0.0975789,0.248725,0.00277809,0.000547192,0.343534,0.054584,0.0240706,0.153846,0.08,0.105335,0.245584,0.344125,0.0001,1e-05
6,201.976,0.0999847,0.240876,0.00264893,0.000513925,0.364487,0.0776275,0.0380793,0.255814,0.146667,0.0749445,0.247897,0.312806,0.0001,1e-05
7,234.348,0.0758595,0.241459,0.002228,0.000457157,0.300906,0.110142,0.0451263,0.290323,0.12,0.0936712,0.252588,0.369944,0.0001,1e-05
8,266.655,0.0844744,0.23798,0.00215855,0.000439229,0.309407,0.155347,0.0652321,0.352941,0.16,0.0781409,0.239438,0.320021,0.0001,1e-05
9,299.128,0.0811142,0.231884,0.00207123,0.000426475,0.305184,0.0889721,0.0459352,0.255814,0.146667,0.0930022,0.23963,0.377441,0.0001,1e-05
10,330.641,0.0788984,0.229458,0.00183317,0.000390671,0.305959,0.118734,0.0499101,0.214286,0.28,0.113302,0.223311,0.398839,0.0001,1e-05
11,363.894,0.0878272,0.231189,0.00156548,0.000359245,0.310848,0.0790324,0.0386856,0.225,0.12,0.0922629,0.24442,0.422999,0.0001,1e-05
12,395.594,0.0779954,0.231078,0.00169647,0.000382608,0.297455,0.123604,0.0729509,0.134078,0.32,0.0669357,0.21901,0.268696,0.0001,1e-05
13,431.537,0.082763,0.214826,0.00173078,0.00038693,0.316126,0.145112,0.0743116,0.25,0.16,0.0725563,0.226662,0.31604,0.0001,1e-05
14,465.604,0.0761619,0.226914,0.00130412,0.000324713,0.285532,0.106368,0.0594398,0.128205,0.266667,0.0756721,0.233001,0.317474,0.0001,1e-05
15,498.332,0.0768252,0.21441,0.00120157,0.000308552,0.295446,0.171348,0.0945337,0.283019,0.2,0.0859033,0.198462,0.34517,0.0001,1e-05
16,533.445,0.0697939,0.208337,0.00132611,0.000332618,0.279264,0.16103,0.107887,0.219858,0.413333,0.076375,0.166657,0.302583,0.0001,1e-05
17,568.23,0.0806652,0.187257,0.00138238,0.000342134,0.31569,0.228236,0.115521,0.304878,0.333333,0.0826284,0.186846,0.348328,0.0001,1e-05
18,602.566,0.0841378,0.186899,0.00140812,0.000357365,0.309719,0.438692,0.297537,0.527778,0.253333,0.084369,0.153433,0.317975,0.0001,1e-05
19,637.294,0.0815905,0.173467,0.00116419,0.000312344,0.313477,0.507247,0.298042,0.842105,0.426667,0.0901757,0.152891,0.341789,0.0001,1e-05
20,671.661,0.0851705,0.177658,0.000974679,0.000282965,0.301332,0.555349,0.34557,0.5,0.533333,0.0785692,0.137876,0.306892,0.0001,1e-05
21,707.455,0.0959644,0.151955,0.00102175,0.000301385,0.345202,0.642846,0.306841,0.969697,0.426667,0.120326,0.0997502,0.451934,0.0001,1e-05
22,740.445,0.100371,0.122411,0.00105867,0.000303759,0.365152,0.567798,0.305486,0.653061,0.426667,0.0969918,0.113075,0.373568,0.0001,1e-05
23,774.351,0.101861,0.12213,0.00109528,0.000306531,0.383135,0.832302,0.487299,0.776316,0.786667,0.0950607,0.0958981,0.370471,0.0001,1e-05
24,808.859,0.105568,0.0916762,0.000923115,0.000287455,0.402253,0.89081,0.453968,0.95,0.76,0.125385,0.0548161,0.479251,0.0001,1e-05
25,841.978,0.102292,0.0691937,0.000887305,0.000277118,0.411992,0.896864,0.53319,0.805195,0.826667,0.105331,0.0619545,0.406265,0.0001,1e-05
26,875.181,0.101285,0.0742143,0.000815678,0.000263292,0.41302,0.859098,0.44385,0.935484,0.773333,0.100236,0.0971392,0.432072,0.0001,1e-05
27,907.773,0.103807,0.067563,0.000754825,0.000251839,0.409399,0.897662,0.574812,0.867647,0.786667,0.0904625,0.0625702,0.376617,0.0001,1e-05
28,943.244,0.107112,0.0583798,0.000704528,0.000242153,0.420987,0.893603,0.473323,0.859155,0.813333,0.0986202,0.0660794,0.440264,0.0001,1e-05
29,975.675,0.100364,0.0581263,0.000742072,0.000249587,0.415718,0.926146,0.527119,0.893939,0.786667,0.105463,0.0526635,0.404075,0.0001,1e-05
30,1008.1,0.104065,0.057316,0.000891708,0.000282402,0.410048,0.922355,0.504018,0.825,0.88,0.100524,0.0441196,0.438394,0.0001,1e-05
31,1040.45,0.101204,0.0547893,0.00109926,0.000332285,0.405894,0.911178,0.542762,0.923077,0.8,0.0876508,0.0631696,0.382609,0.0001,1e-05
32,1072.49,0.0989269,0.0508395,0.000651856,0.000241891,0.411644,0.932456,0.514082,0.866667,0.866667,0.109513,0.0407822,0.455799,0.0001,1e-05
33,1105.66,0.103394,0.0487859,0.000728561,0.000251986,0.414927,0.87707,0.409607,0.842105,0.853333,0.0942216,0.0709582,0.473847,0.0001,1e-05
34,1138.75,0.106284,0.0422885,0.000683003,0.000249011,0.439599,0.893983,0.525932,0.895522,0.8,0.096019,0.0576621,0.406073,0.0001,1e-05
35,1171.01,0.0969035,0.0481503,0.000576395,0.000225607,0.402325,0.933409,0.51817,0.876712,0.853333,0.10515,0.0317559,0.436412,0.0001,1e-05
36,1203.59,0.104042,0.0473819,0.000596421,0.000227188,0.416323,0.94998,0.434645,0.851852,0.92,0.113869,0.0378728,0.535988,0.0001,1e-05
37,1236.9,0.103363,0.0433188,0.00049757,0.000205362,0.415398,0.950403,0.550425,0.969231,0.84,0.0963642,0.047267,0.414916,0.0001,1e-05
38,1269.66,0.101738,0.0499981,0.000548442,0.000216503,0.404436,0.923482,0.542736,0.911765,0.826667,0.0964803,0.0440128,0.415891,0.0001,1e-05
39,1302.75,0.0947211,0.0403699,0.000607008,0.000233118,0.388389,0.928675,0.469774,0.878378,0.866667,0.0946275,0.0423278,0.462599,0.0001,1e-05
40,1336.88,0.0960481,0.0372188,0.000540498,0.000216046,0.39385,0.931411,0.445992,0.846154,0.88,0.109043,0.0282404,0.509094,0.0001,1e-05
41,1369.55,0.102014,0.0323284,0.000489127,0.000201253,0.41284,0.925042,0.410615,0.983051,0.773333,0.111983,0.0258078,0.536297,0.0001,1e-05
42,1402.59,0.0981253,0.0367715,0.00049251,0.000207434,0.415048,0.913131,0.466008,1,0.72,0.1144,0.0398785,0.496647,0.0001,1e-05
43,1436.7,0.0915014,0.0320787,0.000534027,0.00022195,0.387935,0.947211,0.587876,0.90411,0.88,0.0871279,0.0194178,0.386199,0.0001,1e-05
44,1470.88,0.101774,0.0275428,0.000495665,0.000210289,0.408223,0.931434,0.499781,0.954545,0.84,0.111836,0.0406711,0.449633,0.0001,1e-05
45,1504.94,0.0924195,0.0276184,0.000486797,0.000210423,0.394307,0.903656,0.434808,0.910448,0.813333,0.103149,0.0416371,0.494061,0.0001,1e-05
46,1538.43,0.0961529,0.0298903,0.000457155,0.000203173,0.393147,0.951532,0.57202,0.955224,0.853333,0.0940533,0.0383206,0.400208,0.0001,1e-05
47,1571.11,0.0947164,0.0339037,0.000511358,0.000218992,0.393159,0.931167,0.490787,0.939394,0.826667,0.103711,0.0381318,0.466182,0.0001,1e-05
48,1603.88,0.0975277,0.0464859,0.000593343,0.000233433,0.397934,0.948969,0.616512,0.918919,0.906667,0.0936793,0.0273627,0.373187,0.0001,1e-05
49,1638.15,0.104517,0.0333731,0.000377617,0.000181601,0.412165,0.930079,0.558913,0.953846,0.826667,0.0972099,0.0359283,0.402989,0.0001,1e-05
50,1671.28,0.103497,0.0355293,0.000400841,0.000193242,0.418101,0.954818,0.553511,0.942857,0.88,0.0964209,0.0151794,0.426289,0.0001,1e-05
51,1703.89,0.0932998,0.0230612,0.000384712,0.000182983,0.401393,0.93638,0.593043,0.942857,0.88,0.0889124,0.0317149,0.386168,0.0001,1e-05
52,1737.27,0.0972828,0.0213372,0.000377547,0.000183415,0.414353,0.949929,0.542106,0.945205,0.92,0.0949972,0.0351268,0.430996,0.0001,1e-05
53,1769.87,0.0983405,0.0249431,0.000383157,0.00018609,0.417383,0.915528,0.533152,0.917808,0.893333,0.100958,0.0284935,0.442219,0.0001,1e-05
54,1803.17,0.093549,0.0246709,0.000375621,0.000184139,0.38831,0.943651,0.553501,0.905405,0.893333,0.101181,0.0321143,0.413133,0.0001,1e-05
55,1836.74,0.0887526,0.026612,0.000329347,0.000170067,0.383764,0.88995,0.426933,0.90411,0.88,0.107591,0.0280115,0.497261,0.0001,1e-05
56,1868.85,0.0911273,0.0218894,0.000351942,0.000175905,0.40388,0.908908,0.597243,0.911765,0.826667,0.0874518,0.0382228,0.348828,0.0001,1e-05
57,1901.37,0.0964102,0.0323089,0.000322559,0.000169122,0.412811,0.945232,0.459658,0.969697,0.853333,0.0939206,0.0317021,0.453732,0.0001,1e-05
58,1933.71,0.0937787,0.0269333,0.00032767,0.000169773,0.396857,0.964738,0.582483,0.878049,0.96,0.102793,0.0202482,0.4122,0.0001,1e-05
59,1966.75,0.0962189,0.0241161,0.000334438,0.000172957,0.404639,0.950171,0.577449,0.928571,0.866667,0.0954962,0.0180818,0.40332,0.0001,1e-05
60,1999.48,0.0900733,0.0216179,0.000338972,0.000173207,0.39472,0.943223,0.553767,0.970149,0.866667,0.0975826,0.017776,0.415746,0.0001,1e-05
61,2031.98,0.0990212,0.0222101,0.000330272,0.000168679,0.412116,0.938797,0.599817,0.875,0.933333,0.0852968,0.0182359,0.368303,0.0001,1e-05
62,2064.63,0.0899154,0.0191117,0.000325015,0.000166751,0.386897,0.856174,0.33104,0.897059,0.813333,0.118698,0.0609441,0.552221,0.0001,1e-05
63,2096.94,0.100635,0.023916,0.000322094,0.000166853,0.407349,0.922854,0.43826,0.841463,0.92,0.100868,0.033478,0.49955,0.0001,1e-05
64,2130.4,0.094431,0.0245076,0.000342542,0.000175846,0.387116,0.961292,0.54653,0.957143,0.893333,0.0921511,0.0390039,0.427085,0.0001,1e-05
65,2162.97,0.0926483,0.021256,0.00029135,0.000162547,0.415419,0.952722,0.584089,0.918919,0.906667,0.0924128,0.043445,0.384655,0.0001,1e-05
66,2195.78,0.0933118,0.0231182,0.000313815,0.000164402,0.386271,0.930603,0.566202,0.930556,0.893333,0.0921955,0.0308828,0.38541,0.0001,1e-05
67,2230.31,0.0955685,0.0188886,0.000357255,0.000177259,0.403107,0.947744,0.584818,0.956522,0.88,0.0892648,0.0125304,0.378825,0.0001,1e-05
68,2263.2,0.0926975,0.0208901,0.00041914,0.000199551,0.388461,0.931781,0.588071,0.969231,0.84,0.0869049,0.0171686,0.401946,0.0001,1e-05
