epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,19.463,0.341987,0.87336,0.000699142,0.000328245,0.720602,0.00406072,0.00206163,0.0163934,0.0133333,0.146105,0.336908,0.537659,0.0001,1e-05
2,39.5879,0.181077,0.312408,0.00128835,0.000545265,0.555478,0.00233728,0.0010857,0.00515967,0.493333,0.130332,0.305123,0.505091,0.0001,1e-05
3,58.2411,0.126884,0.274279,0.00173913,0.000663316,0.470284,0.021359,0.010211,0.0187845,0.226667,0.0878519,0.283301,0.358164,0.0001,1e-05
4,78.8406,0.11165,0.261181,0.00200029,0.000737822,0.41861,0.0271448,0.0127176,0.0362903,0.12,0.10515,0.26311,0.403366,0.0001,1e-05
5,99.7536,0.106123,0.266864,0.00214315,0.000777508,0.387745,0.0320641,0.0158819,0.0219436,0.186667,0.115574,0.268668,0.407363,0.0001,1e-05
6,120.742,0.106072,0.244521,0.00202742,0.000700814,0.381219,0.0624463,0.0266069,0.208333,0.133333,0.0932884,0.250929,0.373088,0.0001,1e-05
7,141.223,0.0980915,0.229372,0.00197203,0.000667664,0.370185,0.105663,0.0528356,0.25,0.186667,0.0993817,0.208537,0.395906,0.0001,1e-05
8,161.159,0.109619,0.198517,0.00199371,0.000661959,0.388854,0.119493,0.075818,0.220779,0.226667,0.0986072,0.181418,0.392694,0.0001,1e-05
9,181.694,0.092324,0.214099,0.00185877,0.000612076,0.346289,0.134943,0.0893679,0.23913,0.146667,0.080274,0.231686,0.312269,0.0001,1e-05
10,201.478,0.0833039,0.221083,0.00175099,0.00057747,0.32797,0.0858122,0.0432576,0.178947,0.226667,0.0862051,0.231977,0.350675,0.0001,1e-05
11,220.077,0.0874445,0.214997,0.00158969,0.000530146,0.316424,0.128464,0.0715066,0.295455,0.173333,0.0872236,0.191162,0.3382,0.0001,1e-05
12,238.073,0.0899496,0.190942,0.0015528,0.000515993,0.336352,0.194872,0.115717,0.192308,0.333333,0.0942224,0.191348,0.369158,0.0001,1e-05
13,259.293,0.0913462,0.203737,0.00152554,0.000502386,0.335971,0.145281,0.0761911,0.225806,0.186667,0.0870704,0.216356,0.330938,0.0001,1e-05
14,277.48,0.0821051,0.198827,0.00148914,0.000485348,0.324352,0.0861406,0.046854,0.127358,0.36,0.0955057,0.192157,0.398713,0.0001,1e-05
15,295.627,0.0714322,0.213991,0.00139416,0.000459185,0.292115,0.118023,0.0651652,0.333333,0.106667,0.0925578,0.222886,0.330143,0.0001,1e-05
