Test,,,,,,,,
Model,Loss,lambda_1,lambda_2,Mask,Metric,,,
,,,,,precision,recall,mAP50,mAP50-95
YOLO8,baseline,N/A,,,0.79158,0.87183,0.88137,0.52717
YOLO10,,,,,0.81236,0.72985,0.85835,0.56215
YOLO11,,,,,0.78724,0.88281,0.90418,0.60315
YOLO12,,,,,0.8541,0.7855,0.8675,0.5194
MBYOLO,,,,,0.868722,0.879712,0.90751,0.574572
DeTR,,,,,0.8648648649,0.8888888889,0.8760715,0.5377957793
YOLO8,NPP,0.08,0.08,0.1,0.87429,0.9137,0.93321,0.63465
YOLO10,,0.08,0.02,0.1,0.83089,0.79168,0.89063,0.56036
YOLO11,,0.06,0.04,0.1,0.82474,0.83819,0.89074,0.56693
YOLO12,,0.06,0.02,0.3,0.82758,0.83112,0.8877,0.59378
MBYOLO,,0.08,0.02,0.2,0.888403,0.835067,0.898564,0.586726
DeTR,,0.02,0.06,0.2,0.8571428571,0.9166666667,0.9056169765,0.6086990566
YOLO8,difference,0.3,1.5,N/A,0.96029,0.94758,0.97488,0.69039
YOLO10,,0.3,0,,0.90385,0.86941,0.95436,0.65772
YOLO11,,,,,0.87612,0.90452,0.93887,0.59297
YOLO12,,0,0.8,,0.87659,0.84964,0.90367,0.64184
MBYOLO,,0.5,2,,0.907135,0.809142,0.899962,0.595388
DeTR,,0.5,0.5,,0.9402985075,0.875,0.9053326578,0.574133773
