version,mode,dataset_ratio,npp_lambda_2d,npp_lambda_1d,bbox_mask_weight,diff_alpha,diff_beta,npp_fpn_sources,data_yaml,project_dir,run_name,fitness,mAP50,mAP50-95,precision,recall,status,save_dir
v8,npp_only,25,0.0,0.0,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.0_mask0.1_fpn15_18_21,0.46587,0.82377,0.46587,0.75992,0.83962,success,runs/detect_25/train_npp_l2d0.0_l1d0.0_mask0.1_fpn15_18_21
v8,npp_only,10,0.0,0.0,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.0_mask0.1_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.0_l1d0.0_mask0.1_fpn15_18_21
v8,npp_only,25,0.0,0.0,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.0_mask0.2_fpn15_18_21,0.46587,0.82377,0.46587,0.75992,0.83962,success,runs/detect_25/train_npp_l2d0.0_l1d0.0_mask0.2_fpn15_18_21
v8,npp_only,10,0.0,0.0,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.0_mask0.2_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.0_l1d0.0_mask0.2_fpn15_18_21
v8,npp_only,25,0.0,0.0,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.0_mask0.3_fpn15_18_21,0.46587,0.82377,0.46587,0.75992,0.83962,success,runs/detect_25/train_npp_l2d0.0_l1d0.0_mask0.3_fpn15_18_21
v8,npp_only,10,0.0,0.0,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.0_mask0.3_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.0_l1d0.0_mask0.3_fpn15_18_21
v8,npp_only,25,0.0,0.02,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.02_mask0.1_fpn15_18_21,0.50093,0.87887,0.50093,0.78075,0.82576,success,runs/detect_25/train_npp_l2d0.0_l1d0.02_mask0.1_fpn15_18_21
v8,npp_only,10,0.0,0.02,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.02_mask0.1_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.0_l1d0.02_mask0.1_fpn15_18_21
v8,npp_only,25,0.0,0.02,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.02_mask0.2_fpn15_18_21,0.52678,0.88249,0.52678,0.82164,0.82633,success,runs/detect_25/train_npp_l2d0.0_l1d0.02_mask0.2_fpn15_18_21
v8,npp_only,10,0.0,0.02,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.02_mask0.2_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.0_l1d0.02_mask0.2_fpn15_18_21
