version,experiment_type,dataset_ratio,alpha,beta,precision,recall,mAP50,mAP50-95
v10_diff,diff,10,0.3,0.5,0.24679,0.04545,0.08276,0.04556
v10_diff,diff,10,0.3,0.0,0.24679,0.04545,0.08276,0.04556
v10_diff,diff,10,0.3,1.5,0.24679,0.04545,0.08276,0.04556
v10_diff,diff,25,0.3,0.5,0.64612,0.80799,0.73461,0.44434
v10_diff,diff,25,0.3,0.0,0.81204,0.86407,0.8651,0.57191
v10_diff,diff,25,0.3,1.5,0.75136,0.84616,0.87093,0.57064
v10_diff,diff,50,0.3,0.5,0.88802,0.82602,0.93196,0.6564
v10_diff,diff,50,0.3,0.0,0.90385,0.86941,0.95436,0.65772
v10_diff,diff,50,0.3,1.5,0.87664,0.73757,0.87932,0.58069
v10_diff,diff,75,0.3,0.5,0.84846,0.85716,0.90246,0.60978
v10_diff,diff,75,0.3,0.0,0.90485,0.91509,0.95193,0.65171
v10_diff,diff,75,0.3,1.5,0.87445,0.91256,0.94151,0.69125
