version,experiment_type,dataset_ratio,lambda1,lambda2,precision,recall,mAP50,mAP50-95
v11,baseline,10,,,0.9607,0.27273,0.55976,0.37277
v11,baseline,25,,,0.69965,0.64294,0.7324,0.4174
v11,baseline,50,,,0.78724,0.88281,0.90418,0.60315
v11,baseline,75,,,0.93857,0.86021,0.93379,0.62275
v11,npp,10,0.04,0.06,0.9607,0.27273,0.55976,0.37277
v11,npp,10,0.06,0.06,0.9607,0.27273,0.55976,0.37277
v11,npp,10,0.02,0.08,0.9607,0.27273,0.55976,0.37277
v11,npp,25,0.04,0.06,0.76233,0.76029,0.78031,0.44093
v11,npp,25,0.06,0.06,0.62712,0.56218,0.63353,0.34398
v11,npp,25,0.02,0.08,0.72205,0.79245,0.7995,0.44822
v11,npp,50,0.04,0.06,0.82474,0.83819,0.89074,0.56693
v11,npp,50,0.06,0.06,0.78395,0.86792,0.8667,0.54457
v11,npp,50,0.02,0.08,0.81125,0.79803,0.84399,0.53362
v11,npp,75,0.04,0.06,0.95285,0.87662,0.95612,0.6277
v11,npp,75,0.06,0.06,0.97272,0.9084,0.96443,0.65812
v11,npp,75,0.02,0.08,0.92719,0.8962,0.93215,0.67539
