experiment_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
train_diff_alpha0.0_beta0.5_fpn16_19_22,355,7853.87,0.60871,0.39066,0.95279,0.99417,1,0.995,0.87693,0.58222,0.31943,0.95676,0.000206458,0.000206458,0.000206458
train_diff_alpha0.0_beta1.0_fpn16_19_22,339,7234.68,0.60909,0.37731,0.94872,0.99367,0.99643,0.995,0.8596,0.63483,0.32928,0.99053,0.000272471,0.000272471,0.000272471
train_diff_alpha0.0_beta1.5_fpn16_19_22,161,3399.66,0.839,0.55648,1.08626,0.97971,1,0.995,0.84867,0.6793,0.41226,1.01509,0.00100687,0.00100687,0.00100687
train_diff_alpha0.0_beta2.0_fpn16_19_22,356,7382.55,0.57809,0.39601,0.92958,0.99321,0.99887,0.995,0.86986,0.61114,0.31914,0.96921,0.000202332,0.000202332,0.000202332
train_diff_alpha0.1_beta0.0_fpn16_19_22,338,7066.58,0.61286,0.39369,0.95571,0.99352,0.97477,0.99352,0.8607,0.6396,0.3293,0.99109,0.000276597,0.000276597,0.000276597
train_diff_alpha0.1_beta0.5_fpn16_19_22,382,8060.01,0.61114,0.38375,0.94157,0.9934,1,0.995,0.87603,0.59735,0.31017,0.96722,9.50607e-05,9.50607e-05,9.50607e-05
train_diff_alpha0.1_beta1.0_fpn16_19_22,143,3050.19,0.96193,0.61481,1.10126,0.99122,1,0.995,0.85197,0.68455,0.4483,1.02688,0.00108113,0.00108113,0.00108113
train_diff_alpha0.1_beta1.5_fpn16_19_22,333,7081.86,0.63742,0.41352,0.96945,0.99002,1,0.995,0.86397,0.60547,0.31686,0.97199,0.000297226,0.000297226,0.000297226
train_diff_alpha0.1_beta2.0_fpn16_19_22,249,5373.4,0.73333,0.49431,1.01014,0.98714,1,0.995,0.8598,0.64393,0.35336,0.99655,0.000643795,0.000643795,0.000643795
train_diff_alpha0.3_beta0.0_fpn16_19_22,377,8091.54,0.59213,0.36666,0.96267,0.99412,0.99631,0.995,0.86975,0.60174,0.29884,0.96557,0.00011569,0.00011569,0.00011569
train_diff_alpha0.3_beta0.5_fpn16_19_22,271,5757.45,0.72762,0.45249,1.06836,0.98487,0.99739,0.995,0.875,0.62525,0.34149,0.98269,0.000553027,0.000553027,0.000553027
train_diff_alpha0.3_beta1.0_fpn16_19_22,350,7300.49,0.62024,0.4103,0.98036,0.99418,1,0.995,0.87146,0.61457,0.32177,0.96978,0.000227087,0.000227087,0.000227087
train_diff_alpha0.3_beta1.5_fpn16_19_22,294,6189.64,0.66619,0.42313,0.96615,0.99635,1,0.995,0.86516,0.63167,0.34788,0.99331,0.000458133,0.000458133,0.000458133
train_diff_alpha0.3_beta2.0_fpn16_19_22,361,7578.26,0.56563,0.3626,0.94208,0.97364,1,0.99423,0.86627,0.61417,0.31735,0.98709,0.000181703,0.000181703,0.000181703
train_diff_alpha0.5_beta0.0_fpn16_19_22,331,6979.49,0.65524,0.43266,0.96497,0.99358,0.99937,0.995,0.87493,0.60203,0.32538,0.99037,0.000305478,0.000305478,0.000305478
train_diff_alpha0.5_beta0.5_fpn16_19_22,317,6679.16,0.61714,0.39999,0.95437,0.99225,1,0.995,0.87312,0.61581,0.33856,0.97674,0.000363239,0.000363239,0.000363239
train_diff_alpha0.5_beta1.0_fpn16_19_22,363,7571.03,0.60873,0.42517,0.94699,0.9855,1,0.995,0.86671,0.60936,0.32246,0.97705,0.000173451,0.000173451,0.000173451
train_diff_alpha0.5_beta1.5_fpn16_19_22,321,6743.19,0.62387,0.41133,0.96968,0.99015,0.998,0.995,0.86836,0.6468,0.32316,0.99145,0.000346736,0.000346736,0.000346736
train_diff_alpha0.5_beta2.0_fpn16_19_22,328,6872.4,0.62336,0.40604,0.99936,0.99201,1,0.995,0.85905,0.627,0.32889,0.9822,0.000317855,0.000317855,0.000317855
