experiment_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
train_npp_l2d0.02_l1d0.0_mask0.1_fpn14_17_20,1,39.257,1.76774,8.52139,1.60698,0.4283,0.37344,0.40058,0.18147,2.00637,6.1603,2.1413,0.000547495,0.000547495,0.000547495
train_npp_l2d0.0_l1d0.02_mask0.1_fpn14_17_20,348,13706.9,0.82344,0.52899,1.20462,0.98897,0.96,0.98827,0.78974,0.82872,0.51046,1.46793,0.000235339,0.000235339,0.000235339
train_npp_l2d0.0_l1d0.02_mask0.2_fpn14_17_20,353,13913.8,0.84945,0.58238,1.15625,0.98649,1,0.995,0.80172,0.85188,0.52633,1.47017,0.00021471,0.00021471,0.00021471
train_npp_l2d0.0_l1d0.02_mask0.3_fpn14_17_20,361,14216.7,0.76512,0.52768,1.17861,0.95058,0.98926,0.98952,0.79471,0.80843,0.51124,1.40975,0.000181703,0.000181703,0.000181703
train_npp_l2d0.0_l1d0.04_mask0.1_fpn14_17_20,320,12613.1,0.86073,0.56013,1.24858,0.97006,1,0.99269,0.8279,0.76572,0.47493,1.38043,0.000350862,0.000350862,0.000350862
train_npp_l2d0.0_l1d0.04_mask0.2_fpn14_17_20,353,13907.1,0.80771,0.53951,1.12178,0.98889,0.96,0.98935,0.79711,0.80568,0.50558,1.40949,0.00021471,0.00021471,0.00021471
train_npp_l2d0.0_l1d0.04_mask0.3_fpn14_17_20,354,13935.9,0.85584,0.54004,1.18533,0.98205,1,0.995,0.79254,0.82153,0.51027,1.42041,0.000210584,0.000210584,0.000210584
train_npp_l2d0.0_l1d0.06_mask0.1_fpn14_17_20,295,11636.1,0.92107,0.64957,1.24688,0.95095,0.98,0.98596,0.78468,0.86968,0.5914,1.49967,0.000454007,0.000454007,0.000454007
train_npp_l2d0.0_l1d0.06_mask0.2_fpn14_17_20,398,15664.2,0.67064,0.44171,1.14282,0.97115,0.9973,0.99192,0.80547,0.8085,0.51915,1.40267,2.90475e-05,2.90475e-05,2.90475e-05
train_npp_l2d0.0_l1d0.06_mask0.3_fpn14_17_20,382,15034.7,0.92866,0.53613,1.25024,0.94636,1,0.98537,0.75757,0.9244,0.58911,1.54091,9.50607e-05,9.50607e-05,9.50607e-05
train_npp_l2d0.0_l1d0.08_mask0.1_fpn14_17_20,343,13524.8,0.86718,0.57283,1.21804,0.90514,0.96,0.97344,0.78498,0.88872,0.62525,1.50186,0.000255968,0.000255968,0.000255968
train_npp_l2d0.0_l1d0.08_mask0.2_fpn14_17_20,15,594.285,2.30161,2.53131,2.22568,0.93868,0.3125,0.41851,0.2083,2.03778,3.01194,2.41389,0.00160924,0.00160924,0.00160924
train_npp_l2d0.0_l1d0.0_mask0.1_fpn14_17_20,361,14223.5,0.80057,0.50383,1.19723,0.96558,1,0.99346,0.79655,0.85389,0.50813,1.48257,0.000181703,0.000181703,0.000181703
